date,equity,deployed_usd
2020-08-27,1000.0,0.0
2020-08-28,1000.0,0.0
2020-08-29,1000.0,0.0
2020-08-30,1000.0,0.0
2020-08-31,1000.0,0.0
2020-09-01,1000.0,0.0
2020-09-02,1000.0,0.0
2020-09-03,1000.0,0.0
2020-09-04,1000.0,0.0
2020-09-05,1000.0,0.0
2020-09-06,1000.0,0.0
2020-09-07,1000.0,0.0
2020-09-08,1000.0,0.0
2020-09-09,1000.0,0.0
2020-09-10,1000.0,0.0
2020-09-11,1000.0,0.0
2020-09-12,1000.0,0.0
2020-09-13,1000.0,0.0
2020-09-14,1000.0,0.0
2020-09-15,1000.0,0.0
2020-09-16,1000.0,0.0
2020-09-17,1000.0,0.0
2020-09-18,1000.0,0.0
2020-09-19,1000.0,0.0
2020-09-20,1000.0,0.0
2020-09-21,1000.0,0.0
2020-09-22,1000.0,0.0
2020-09-23,1000.0,0.0
2020-09-24,1000.0,0.0
2020-09-25,1000.0,0.0
2020-09-26,1000.0,0.0
2020-09-27,1000.0,0.0
2020-09-28,1000.0,0.0
2020-09-29,1000.0,0.0
2020-09-30,1000.0,0.0
2020-10-01,1000.0,0.0
2020-10-02,1000.0,0.0
2020-10-03,1000.0,0.0
2020-10-04,1000.0,0.0
2020-10-05,1000.0,0.0
2020-10-06,1000.0,0.0
2020-10-07,1000.0,0.0
2020-10-08,1000.0,0.0
2020-10-09,1000.0,0.0
2020-10-10,1000.0,0.0
2020-10-11,1000.91,176.45
2020-10-12,1003.38,178.92
2020-10-13,1000.23,358.11
2020-10-14,999.88,357.77
2020-10-15,1002.28,360.16
2020-10-16,992.84,350.72
2020-10-17,994.71,352.59
2020-10-18,1000.58,358.46
2020-10-19,1002.73,360.61
2020-10-20,999.48,357.37
2020-10-21,1021.09,378.97
2020-10-22,1032.53,390.41
2020-10-23,1030.56,388.44
2020-10-24,1034.34,392.22
2020-10-25,1029.99,387.88
2020-10-26,1029.38,387.26
2020-10-27,1042.43,400.32
2020-10-28,1029.68,387.56
2020-10-29,1031.09,388.97
2020-10-30,1027.7,309.21
2020-10-31,1032.3,313.82
2020-11-01,1034.48,316.0
2020-11-02,1027.67,309.18
2020-11-03,1036.28,317.79
2020-11-04,1041.92,323.44
2020-11-05,1068.03,349.54
2020-11-06,1078.0,359.51
