symbol,entry_date,exit_date,entry,exit,units,pnl,r_multiple,exit_reason
BNB/USDT,2020-10-13,2020-10-30,30.67,28.49,2.684498,-5.95,-0.593,donchian_exit
BNB/USDT,2020-11-22,2020-12-08,30.53,27.67,4.637722,-13.46,-1.083,stop_loss
XRP/USDT,2020-11-15,2020-12-15,0.27,0.47,472.842398,94.0,8.649,donchian_exit
ETH/USDT,2020-10-13,2021-03-22,386.7,1680.97,0.258196,333.52,33.24,donchian_exit
BTC/USDT,2020-10-11,2021-03-24,11298.87,52303.65,0.01552,635.18,63.518,donchian_exit
SOL/USDT,2021-01-02,2021-03-25,1.84,12.98,35.836396,398.36,27.293,donchian_exit
BNB/USDT,2020-12-20,2021-03-25,33.32,233.95,3.930513,787.19,58.817,donchian_exit
BTC/USDT,2021-04-14,2021-04-18,63606.8,56150.01,0.006552,-49.41,-1.325,stop_loss
XRP/USDT,2021-01-31,2021-04-22,0.44,1.15,173.511418,123.06,6.774,donchian_exit
BNB/USDT,2021-04-02,2021-05-13,334.84,571.1,0.610591,143.74,4.41,donchian_exit
ETH/USDT,2021-04-02,2021-05-17,1969.03,3282.51,0.135215,176.94,5.429,donchian_exit
SOL/USDT,2021-03-29,2021-05-19,18.07,34.99,9.565569,161.29,4.97,donchian_exit
BNB/USDT,2021-08-08,2021-09-07,356.36,418.7,1.039724,64.17,1.6,donchian_exit
BTC/USDT,2021-07-26,2021-09-20,35398.71,43015.62,0.010415,78.66,2.079,donchian_exit
ETH/USDT,2021-07-31,2021-09-20,2463.0,2977.28,0.124734,63.59,1.648,donchian_exit
SOL/USDT,2021-08-01,2021-09-20,36.76,132.77,6.060312,580.64,15.051,donchian_exit
XRP/USDT,2021-07-29,2021-09-20,0.73,0.92,356.628238,66.74,1.743,donchian_exit
BTC/USDT,2021-10-06,2021-10-27,51497.73,58413.44,0.008868,60.55,1.306,donchian_exit
BNB/USDT,2021-10-06,2021-10-27,442.22,448.7,0.815604,4.74,0.102,donchian_exit
XRP/USDT,2021-10-10,2021-10-27,1.16,1.0,282.038991,-47.23,-1.016,stop_loss
BTC/USDT,2021-11-09,2021-11-16,67559.58,60058.87,0.008543,-64.85,-1.304,stop_loss
ETH/USDT,2021-10-15,2021-11-16,3792.72,4209.76,0.106985,43.94,0.934,donchian_exit
XRP/USDT,2021-11-04,2021-11-16,1.21,1.09,326.043901,-40.6,-0.837,donchian_exit
SOL/USDT,2021-10-22,2021-11-18,190.56,195.01,1.647238,6.86,0.144,donchian_exit
BNB/USDT,2021-10-30,2021-11-18,530.57,531.8,0.787846,0.34,0.007,donchian_exit
XRP/USDT,2021-12-24,2021-12-29,0.99,0.82,319.418805,-57.09,-1.242,stop_loss
BTC/USDT,2022-02-08,2022-02-17,43861.91,40515.7,0.010392,-35.4,-0.78,donchian_exit
XRP/USDT,2022-02-08,2022-02-21,0.83,0.7,439.418742,-57.59,-1.269,stop_loss
BTC/USDT,2022-03-25,2022-04-06,44013.46,43170.47,0.011165,-10.13,-0.228,donchian_exit
ETH/USDT,2022-03-25,2022-04-11,3112.31,2979.74,0.138973,-19.04,-0.429,donchian_exit
SOL/USDT,2022-03-25,2022-04-11,102.37,99.67,3.175484,-9.05,-0.204,donchian_exit
BNB/USDT,2022-03-25,2022-04-11,414.41,394.6,1.262201,-25.75,-0.579,donchian_exit
SOL/USDT,2022-07-19,2022-07-26,43.54,36.25,6.218665,-45.68,-1.028,stop_loss
BNB/USDT,2022-07-17,2022-08-17,249.92,306.9,1.618342,91.46,2.089,donchian_exit
BTC/USDT,2022-07-20,2022-08-19,23410.18,20834.39,0.016637,-43.37,-0.972,donchian_exit
ETH/USDT,2022-07-17,2022-08-19,1356.52,1609.01,0.201443,50.38,1.151,donchian_exit
XRP/USDT,2022-07-19,2022-08-19,0.37,0.33,1017.841084,-32.05,-0.721,donchian_exit
BTC/USDT,2022-09-13,2022-09-14,22406.64,20226.71,0.024306,-53.72,-1.225,stop_loss
ETH/USDT,2022-09-11,2022-09-15,1775.01,1472.75,0.209442,-63.77,-1.45,stop_loss
SOL/USDT,2022-09-13,2022-09-16,37.46,32.25,9.208757,-48.41,-1.104,stop_loss
BNB/USDT,2022-10-05,2022-10-10,296.45,271.5,1.921556,-48.72,-1.122,stop_loss
SOL/USDT,2022-11-06,2022-11-07,36.92,29.62,10.20187,-74.91,-1.665,stop_loss
BTC/USDT,2022-10-27,2022-11-08,20782.0,18547.23,0.032568,-73.69,-1.707,stop_loss
ETH/USDT,2022-10-26,2022-11-08,1460.47,1334.77,0.326841,-41.74,-0.977,donchian_exit
XRP/USDT,2022-09-18,2022-11-08,0.38,0.41,1098.321719,31.74,0.75,donchian_exit
BNB/USDT,2022-10-29,2022-11-09,298.05,267.3,2.386469,-74.34,-1.724,stop_loss
BTC/USDT,2022-12-14,2022-12-16,17784.71,16632.12,0.038505,-45.34,-1.149,stop_loss
