date,equity,deployed_usd
2020-08-27,1000.0,0.0
2020-08-28,1000.0,0.0
2020-08-29,1000.0,0.0
2020-08-30,1000.0,0.0
2020-08-31,1000.0,0.0
2020-09-01,1000.0,0.0
2020-09-02,1000.0,0.0
2020-09-03,1000.0,0.0
2020-09-04,1000.0,0.0
2020-09-05,1000.0,0.0
2020-09-06,1000.0,0.0
2020-09-07,1000.0,0.0
2020-09-08,1000.0,0.0
2020-09-09,1000.0,0.0
2020-09-10,1000.0,0.0
2020-09-11,1000.0,0.0
2020-09-12,1000.0,0.0
2020-09-13,1000.0,0.0
2020-09-14,1000.0,0.0
2020-09-15,1000.0,0.0
2020-09-16,1000.0,0.0
2020-09-17,1000.0,0.0
2020-09-18,1000.0,0.0
2020-09-19,1000.0,0.0
2020-09-20,1000.0,0.0
2020-09-21,1000.0,0.0
2020-09-22,1000.0,0.0
2020-09-23,1000.0,0.0
2020-09-24,1000.0,0.0
2020-09-25,1000.0,0.0
2020-09-26,1000.0,0.0
2020-09-27,1000.0,0.0
2020-09-28,1000.0,0.0
2020-09-29,1000.0,0.0
2020-09-30,1000.0,0.0
2020-10-01,1000.0,0.0
2020-10-02,1000.0,0.0
2020-10-03,1000.0,0.0
2020-10-04,1000.0,0.0
2020-10-05,1000.0,0.0
2020-10-06,1000.0,0.0
2020-10-07,1000.0,0.0
2020-10-08,1000.0,0.0
2020-10-09,1000.0,0.0
2020-10-10,1000.0,0.0
2020-10-11,1000.91,176.45
2020-10-12,1003.38,178.92
2020-10-13,1000.15,275.63
2020-10-14,999.5,274.98
2020-10-15,1000.59,276.06
2020-10-16,994.57,270.05
2020-10-17,995.93,271.41
2020-10-18,1000.68,276.15
2020-10-19,1004.84,280.32
2020-10-20,1004.51,279.99
2020-10-21,1023.68,299.15
2020-10-22,1032.68,308.16
2020-10-23,1030.72,306.2
2020-10-24,1034.43,309.91
2020-10-25,1031.52,307.0
2020-10-26,1028.44,303.92
2020-10-27,1040.32,315.8
2020-10-28,1030.66,306.13
2020-10-29,1033.31,308.79
2020-10-30,1033.73,309.21
2020-10-31,1038.34,313.82
2020-11-01,1040.52,316.0
2020-11-02,1033.7,309.18
2020-11-03,1042.32,317.79
2020-11-04,1047.96,323.44
2020-11-05,1074.07,349.54
2020-11-06,1084.04,359.51
