symbol,side,entry_date,exit_date,entry,exit,units,funding,pnl,r_multiple,exit_reason
ETH/USDT,long,2020-10-13,2021-03-22,386.7,1680.97,0.258196,0.0,333.52,33.24,donchian_exit
BTC/USDT,long,2020-10-11,2021-03-24,11298.87,52303.65,0.01552,0.0,635.18,63.518,donchian_exit
BTC/USDT,long,2021-04-14,2021-04-18,63606.8,56150.01,0.003506,0.0,-26.44,-1.325,stop_loss
ETH/USDT,long,2021-04-02,2021-05-17,1969.03,3282.51,0.081667,0.0,106.87,5.429,donchian_exit
BTC/USDT,long,2021-07-26,2021-09-20,35398.71,43015.62,0.00564,0.0,42.6,2.079,donchian_exit
ETH/USDT,long,2021-07-31,2021-09-20,2463.0,2977.28,0.067437,0.0,34.38,1.648,donchian_exit
BTC/USDT,long,2021-10-06,2021-10-27,51497.73,58413.44,0.004066,0.0,27.76,1.306,donchian_exit
BTC/USDT,long,2021-11-09,2021-11-16,67559.58,60058.87,0.003782,0.0,-28.71,-1.304,stop_loss
ETH/USDT,long,2021-10-15,2021-11-16,3792.72,4209.76,0.048882,0.0,20.08,0.934,donchian_exit
BTC/USDT,long,2022-02-08,2022-02-17,43861.91,40515.7,0.004909,0.0,-16.72,-0.78,donchian_exit
BTC/USDT,long,2022-03-25,2022-04-06,44013.46,43170.47,0.005343,0.0,-4.85,-0.228,donchian_exit
ETH/USDT,long,2022-03-25,2022-04-11,3112.31,2979.74,0.066503,0.0,-9.11,-0.429,donchian_exit
BTC/USDT,long,2022-07-20,2022-08-19,23410.18,20834.39,0.007945,0.0,-20.71,-0.972,donchian_exit
ETH/USDT,long,2022-07-17,2022-08-19,1356.52,1609.01,0.097182,0.0,24.3,1.151,donchian_exit
BTC/USDT,long,2022-09-13,2022-09-14,22406.64,20226.71,0.011693,0.0,-25.85,-1.225,stop_loss
ETH/USDT,long,2022-09-11,2022-09-15,1775.01,1472.75,0.10076,0.0,-30.68,-1.45,stop_loss
BTC/USDT,long,2022-10-27,2022-11-08,20782.0,18547.23,0.015657,0.0,-35.43,-1.707,stop_loss
ETH/USDT,long,2022-10-26,2022-11-08,1460.47,1334.77,0.157463,0.0,-20.11,-0.977,donchian_exit
BTC/USDT,long,2022-12-14,2022-12-16,17784.71,16632.12,0.019543,0.0,-23.01,-1.149,stop_loss
ETH/USDT,long,2022-12-14,2022-12-16,1321.35,1166.83,0.167307,0.0,-26.15,-1.306,stop_loss
BTC/USDT,long,2023-01-09,2023-02-09,17136.39,21796.35,0.032376,0.0,149.81,7.672,donchian_exit
ETH/USDT,long,2023-01-09,2023-02-10,1290.8,1513.06,0.277588,0.0,61.07,3.127,donchian_exit
BTC/USDT,long,2023-02-16,2023-03-03,24335.03,22354.34,0.013229,0.0,-26.65,-1.232,stop_loss
BTC/USDT,long,2023-03-15,2023-04-21,24682.75,27262.84,0.009202,0.0,23.37,1.094,donchian_exit
ETH/USDT,long,2023-03-15,2023-04-21,1700.26,1848.78,0.132597,0.0,19.33,0.905,donchian_exit
ETH/USDT,long,2023-05-29,2023-06-10,1909.59,1751.53,0.184509,0.0,-29.65,-1.361,stop_loss
ETH/USDT,long,2023-07-14,2023-07-22,2005.49,1866.52,0.173265,0.0,-24.56,-1.125,stop_loss
BTC/USDT,long,2023-06-21,2023-07-24,28322.15,29176.5,0.01144,0.0,9.27,0.432,donchian_exit
ETH/USDT,long,2023-10-02,2023-10-05,1734.67,1611.79,0.241711,0.0,-30.29,-1.421,stop_loss
BTC/USDT,long,2023-10-02,2023-10-11,28006.58,26875.52,0.016621,0.0,-19.47,-0.913,donchian_exit
BTC/USDT,long,2023-10-24,2024-01-18,33086.52,41327.5,0.009429,0.0,77.12,3.705,donchian_exit
ETH/USDT,long,2023-10-24,2024-01-22,1766.35,2314.2,0.19718,0.0,107.34,5.157,donchian_exit
BTC/USDT,long,2024-02-08,2024-03-19,44371.77,61937.4,0.008111,0.0,141.72,6.257,donchian_exit
ETH/USDT,long,2024-02-13,2024-03-19,2661.32,3158.64,0.131268,0.0,64.66,2.799,donchian_exit
ETH/USDT,long,2024-04-09,2024-04-12,3696.46,3237.43,0.061942,0.0,-28.73,-1.163,stop_loss
ETH/USDT,long,2024-05-21,2024-06-07,3663.62,3678.32,0.071129,0.0,0.65,0.027,donchian_exit
BTC/USDT,long,2024-05-16,2024-06-14,66239.61,66043.99,0.004295,0.0,-1.27,-0.052,donchian_exit
BTC/USDT,long,2024-07-16,2024-08-02,64756.42,61498.33,0.004914,0.0,-16.46,-0.675,donchian_exit
BTC/USDT,long,2024-08-24,2024-09-01,64069.26,57301.86,0.004069,0.0,-27.89,-1.151,stop_loss
BTC/USDT,long,2024-09-19,2024-10-01,61790.86,60805.78,0.004966,0.0,-5.34,-0.223,donchian_exit
ETH/USDT,long,2024-09-22,2024-10-01,2613.71,2447.79,0.100149,0.0,-16.98,-0.707,donchian_exit
ETH/USDT,long,2024-10-21,2024-10-23,2748.28,2524.61,0.12114,0.0,-27.55,-1.156,stop_loss
ETH/USDT,long,2024-11-08,2024-12-19,2896.92,3417.01,0.09283,0.0,47.8,1.999,donchian_exit
BTC/USDT,long,2024-10-16,2025-02-02,67107.68,97700.59,0.005377,0.0,163.71,6.899,donchian_exit
BTC/USDT,long,2025-04-23,2025-05-30,93489.71,103985.48,0.003708,0.0,38.34,1.5,donchian_exit
ETH/USDT,long,2025-05-09,2025-06-05,2208.49,2414.01,0.121233,0.0,24.48,0.944,donchian_exit
ETH/USDT,long,2025-06-11,2025-06-14,2817.82,2530.76,0.093472,0.0,-27.19,-1.038,stop_loss
BTC/USDT,long,2025-07-10,2025-08-01,111289.62,113297.93,0.00511,0.0,9.39,0.363,donchian_exit
ETH/USDT,long,2025-07-10,2025-08-01,2770.12,3488.2,0.102503,0.0,73.07,2.82,donchian_exit
BTC/USDT,long,2025-08-14,2025-08-15,123368.09,117342.05,0.004782,0.0,-29.66,-1.088,stop_loss
BTC/USDT,long,2025-09-17,2025-09-22,116847.35,112650.99,0.005456,0.0,-23.82,-0.89,donchian_exit
ETH/USDT,long,2025-08-09,2025-09-22,4011.51,4199.08,0.071693,0.0,13.0,0.486,donchian_exit
BTC/USDT,long,2025-10-02,2025-10-10,118654.29,112774.5,0.005146,0.0,-31.13,-1.184,stop_loss
ETH/USDT,long,2025-10-07,2025-10-10,4686.36,3829.72,0.075724,0.0,-65.3,-2.455,stop_loss
ETH/USDT,long,2025-12-10,2025-12-17,3319.7,2833.49,0.065427,0.0,-32.09,-1.267,stop_loss
BTC/USDT,long,2026-01-05,2026-01-20,91575.5,88427.66,0.00509,0.0,-16.7,-0.668,donchian_exit
ETH/USDT,long,2026-01-06,2026-01-20,3226.6,2939.88,0.108524,0.0,-31.59,-1.258,stop_loss
ETH/USDT,long,2026-03-17,2026-03-21,2354.15,2084.87,0.098189,0.0,-26.75,-1.088,stop_loss
BTC/USDT,long,2026-03-05,2026-03-22,72703.1,67859.0,0.003333,0.0,-16.49,-0.672,donchian_exit
ETH/USDT,long,2026-04-12,2026-05-15,2286.14,2224.66,0.115557,0.0,-7.49,-0.311,donchian_exit
BTC/USDT,long,2026-04-14,2026-05-16,74455.21,78148.05,0.00462,0.0,16.52,0.683,donchian_exit
ETH/USDT,long,2026-07-15,2026-08-01,1892.82,1844.94,0.154393,0.0,-7.82,-0.324,donchian_exit
