symbol,side,entry_date,exit_date,entry,exit,units,funding,pnl,r_multiple,exit_reason
ETH/USDT,short,2020-09-22,2020-10-12,340.14,386.51,0.165379,-0.21,-7.52,-0.752,donchian_exit
ETH/USDT,long,2020-10-13,2021-03-22,386.7,1680.97,0.256188,0.0,330.93,33.24,donchian_exit
BTC/USDT,long,2020-10-11,2021-03-24,11298.87,52303.65,0.015441,0.0,631.95,63.518,donchian_exit
ETH/USDT,short,2021-03-23,2021-04-01,1680.33,1968.05,0.076612,-1.32,-20.88,-1.053,stop_loss
BTC/USDT,short,2021-03-25,2021-04-13,52277.51,63575.0,0.00253,-4.45,-24.29,-1.238,stop_loss
BTC/USDT,long,2021-04-14,2021-04-18,63606.8,56150.01,0.003391,0.0,-25.57,-1.325,stop_loss
ETH/USDT,long,2021-04-02,2021-05-17,1969.03,3282.51,0.079495,0.0,104.02,5.429,donchian_exit
BTC/USDT,short,2021-05-13,2021-07-25,49512.38,35381.02,0.002569,-0.85,37.06,1.83,donchian_exit
ETH/USDT,short,2021-05-18,2021-07-30,3280.61,2461.81,0.026868,-0.76,22.69,1.136,donchian_exit
BTC/USDT,long,2021-07-26,2021-09-20,35398.71,43015.62,0.005636,0.0,42.57,2.079,donchian_exit
ETH/USDT,long,2021-07-31,2021-09-20,2463.0,2977.28,0.067151,0.0,34.23,1.648,donchian_exit
BTC/USDT,short,2021-09-21,2021-10-01,42995.13,48141.61,0.004257,-0.35,-21.76,-1.028,stop_loss
ETH/USDT,short,2021-09-21,2021-10-05,2975.83,3515.27,0.042242,-0.32,-22.61,-1.069,stop_loss
BTC/USDT,long,2021-10-06,2021-10-27,51497.73,58413.44,0.003962,0.0,27.05,1.306,donchian_exit
BTC/USDT,short,2021-10-28,2021-11-08,58384.23,67525.83,0.00341,-2.36,-29.05,-1.381,stop_loss
BTC/USDT,long,2021-11-09,2021-11-16,67559.58,60058.87,0.003631,0.0,-27.56,-1.304,stop_loss
ETH/USDT,long,2021-10-15,2021-11-16,3792.72,4209.76,0.047631,0.0,19.56,0.934,donchian_exit
BTC/USDT,short,2021-11-19,2022-02-07,56863.17,43839.99,0.00335,-3.15,46.63,2.256,donchian_exit
BTC/USDT,long,2022-02-08,2022-02-17,43861.91,40515.7,0.004915,0.0,-16.74,-0.78,donchian_exit
BTC/USDT,short,2022-02-18,2022-03-24,40495.45,43991.46,0.005032,-0.74,-17.08,-0.798,donchian_exit
ETH/USDT,short,2021-11-17,2022-03-24,4207.49,3110.76,0.042627,-3.58,50.19,2.439,donchian_exit
BTC/USDT,long,2022-03-25,2022-04-06,44013.46,43170.47,0.005307,0.0,-4.82,-0.228,donchian_exit
ETH/USDT,long,2022-03-25,2022-04-11,3112.31,2979.74,0.066054,0.0,-9.05,-0.429,donchian_exit
ETH/USDT,short,2022-04-12,2022-07-16,2978.26,1355.85,0.066583,-0.09,108.03,5.101,donchian_exit
BTC/USDT,short,2022-04-07,2022-07-19,43148.88,23396.62,0.005538,-1.76,111.01,5.259,donchian_exit
BTC/USDT,long,2022-07-20,2022-08-19,23410.18,20834.39,0.008707,0.0,-22.7,-0.972,donchian_exit
ETH/USDT,long,2022-07-17,2022-08-19,1356.52,1609.01,0.107066,0.0,26.77,1.151,donchian_exit
ETH/USDT,short,2022-08-20,2022-09-10,1608.2,1774.12,0.095029,0.55,-16.48,-0.711,donchian_exit
BTC/USDT,short,2022-08-20,2022-09-12,20823.97,22395.74,0.010489,-0.12,-16.6,-0.716,donchian_exit
BTC/USDT,long,2022-09-13,2022-09-14,22406.64,20226.71,0.012633,0.0,-27.92,-1.225,stop_loss
ETH/USDT,long,2022-09-11,2022-09-15,1775.01,1472.75,0.109238,0.0,-33.26,-1.45,stop_loss
ETH/USDT,short,2022-09-16,2022-10-25,1472.02,1459.74,0.097522,-0.21,1.26,0.057,donchian_exit
BTC/USDT,long,2022-10-27,2022-11-08,20782.0,18547.23,0.016921,0.0,-38.28,-1.707,stop_loss
ETH/USDT,long,2022-10-26,2022-11-08,1460.47,1334.77,0.170171,0.0,-21.73,-0.977,donchian_exit
BTC/USDT,short,2022-11-09,2022-12-13,18536.11,17774.7,0.012959,0.48,9.15,0.423,donchian_exit
ETH/USDT,short,2022-11-09,2022-12-13,1334.11,1320.69,0.112607,0.28,1.08,0.05,donchian_exit
BTC/USDT,long,2022-12-14,2022-12-16,17784.71,16632.12,0.021224,0.0,-24.99,-1.149,stop_loss
ETH/USDT,long,2022-12-14,2022-12-16,1321.35,1166.83,0.181697,0.0,-28.39,-1.306,stop_loss
BTC/USDT,short,2022-12-17,2023-01-08,16623.18,17127.83,0.018748,-1.16,-8.63,-0.407,donchian_exit
ETH/USDT,short,2022-12-17,2023-01-08,1166.24,1290.16,0.167028,-0.86,-20.05,-0.945,donchian_exit
