symbol,side,entry_date,exit_date,entry,exit,units,funding,pnl,r_multiple,exit_reason
ETH/USDT,short,2020-09-22,2020-10-12,340.14,386.51,0.165379,-0.21,-7.52,-0.752,donchian_exit
ETH/USDT,short,2021-03-23,2021-04-01,1680.33,1968.05,0.038324,-0.66,-10.44,-1.053,stop_loss
BTC/USDT,short,2021-03-25,2021-04-13,52277.51,63575.0,0.001284,-2.26,-12.33,-1.238,stop_loss
BTC/USDT,short,2021-05-13,2021-07-25,49512.38,35381.02,0.001226,-0.41,17.68,1.83,donchian_exit
ETH/USDT,short,2021-05-18,2021-07-30,3280.61,2461.81,0.0131,-0.37,11.06,1.136,donchian_exit
BTC/USDT,short,2021-09-21,2021-10-01,42995.13,48141.61,0.002,-0.17,-10.22,-1.028,stop_loss
ETH/USDT,short,2021-09-21,2021-10-05,2975.83,3515.27,0.019848,-0.15,-10.62,-1.069,stop_loss
BTC/USDT,short,2021-10-28,2021-11-08,58384.23,67525.83,0.001577,-1.09,-13.43,-1.381,stop_loss
BTC/USDT,short,2021-11-19,2022-02-07,56863.17,43839.99,0.00156,-1.47,21.72,2.256,donchian_exit
BTC/USDT,short,2022-02-18,2022-03-24,40495.45,43991.46,0.002362,-0.35,-8.02,-0.798,donchian_exit
ETH/USDT,short,2021-11-17,2022-03-24,4207.49,3110.76,0.019854,-1.67,23.38,2.439,donchian_exit
ETH/USDT,short,2022-04-12,2022-07-16,2978.26,1355.85,0.031471,-0.04,51.06,5.101,donchian_exit
BTC/USDT,short,2022-04-07,2022-07-19,43148.88,23396.62,0.002602,-0.83,52.15,5.259,donchian_exit
ETH/USDT,short,2022-08-20,2022-09-10,1608.2,1774.12,0.044833,0.26,-7.78,-0.711,donchian_exit
BTC/USDT,short,2022-08-20,2022-09-12,20823.97,22395.74,0.004948,-0.06,-7.83,-0.716,donchian_exit
ETH/USDT,short,2022-09-16,2022-10-25,1472.02,1459.74,0.047285,-0.1,0.61,0.057,donchian_exit
BTC/USDT,short,2022-11-09,2022-12-13,18536.11,17774.7,0.006459,0.24,4.56,0.423,donchian_exit
ETH/USDT,short,2022-11-09,2022-12-13,1334.11,1320.69,0.056129,0.14,0.54,0.05,donchian_exit
BTC/USDT,short,2022-12-17,2023-01-08,16623.18,17127.83,0.009583,-0.59,-4.41,-0.407,donchian_exit
ETH/USDT,short,2022-12-17,2023-01-08,1166.24,1290.16,0.085375,-0.44,-10.25,-0.945,donchian_exit
BTC/USDT,short,2023-02-10,2023-02-15,21786.93,24324.05,0.006901,-0.17,-17.51,-1.639,stop_loss
ETH/USDT,short,2023-02-11,2023-02-15,1512.29,1674.92,0.073692,-0.06,-12.05,-1.127,stop_loss
ETH/USDT,short,2023-03-09,2023-03-13,1531.61,1673.45,0.084839,-0.02,-12.15,-1.167,stop_loss
BTC/USDT,short,2023-03-04,2023-03-14,22343.16,24670.41,0.005637,-0.13,-13.13,-1.265,stop_loss
BTC/USDT,short,2023-04-22,2023-04-27,27249.21,29472.77,0.004819,-0.1,-10.76,-1.063,stop_loss
BTC/USDT,short,2023-05-25,2023-05-28,26315.84,28065.0,0.005758,-0.11,-10.12,-1.008,stop_loss
ETH/USDT,short,2023-04-22,2023-05-28,1847.85,1908.64,0.059993,-0.53,-3.23,-0.319,donchian_exit
BTC/USDT,short,2023-06-06,2023-06-20,25715.34,28307.99,0.005755,-0.31,-14.78,-1.497,stop_loss
