open,high,low,close,volume,date
105.3141,105.9471,91.9613,100.7573,245.6755,2021-11-18
100.7573,112.3226,96.0,111.853,895.312,2021-11-19
111.853,130.0338,111.75,125.7734,4004.215,2021-11-20
125.7734,146.9054,123.294,128.5431,499.4075,2021-11-21
128.5431,145.0487,125.8411,134.9716,363.3242,2021-11-22
134.9716,136.5116,121.8035,123.9907,286.2685,2021-11-23
123.9907,124.7177,112.7299,115.1003,513.2612,2021-11-24
115.1003,130.0612,114.2267,119.172,515.4571,2021-11-25
119.172,119.9359,101.3587,104.2857,797.0457,2021-11-26
104.2857,118.0495,103.1894,113.6171,502.4383,2021-11-27
113.6171,113.9454,100.6672,110.3999,554.6718,2021-11-28
110.3999,120.5598,109.1181,120.5581,409.9012,2021-11-29
120.5581,124.8568,114.0409,120.3509,511.3102,2021-11-30
120.3509,127.4046,117.2361,119.671,429.6064,2021-12-01
119.671,119.7794,106.9652,107.8798,816.0288,2021-12-02
107.8798,113.2033,100.0163,108.5072,775.0487,2021-12-03
108.5072,108.75,76.7642,92.979,927.7096,2021-12-04
92.979,95.3414,82.5083,86.4177,549.0102,2021-12-05
86.4177,94.9334,76.9742,93.1098,542.8933,2021-12-06
93.1098,96.6281,87.9461,89.5844,680.1603,2021-12-07
89.5844,93.2914,86.3309,93.1665,653.7754,2021-12-08
93.1665,94.587,83.2681,85.3812,425.0301,2021-12-09
85.3812,91.8217,80.418,80.6533,308.2048,2021-12-10
80.6533,87.0437,78.6541,86.3869,275.8009,2021-12-11
86.3869,88.9943,82.9085,88.0091,210.3796,2021-12-12
88.0091,90.0153,75.539,79.1016,412.5304,2021-12-13
79.1016,87.4834,76.412,87.1684,388.3919,2021-12-14
87.1684,105.7533,86.0836,101.3288,441.0241,2021-12-15
101.3288,110.0301,98.056,98.3394,527.545,2021-12-16
98.3394,116.1305,98.1903,110.7823,468.7484,2021-12-17
110.7823,117.3733,105.4502,115.8776,414.334,2021-12-18
115.8776,116.766,106.8207,107.5804,642.6167,2021-12-19
107.5804,116.1747,101.0027,113.4706,537.3955,2021-12-20
113.4706,123.9704,110.5614,123.2443,691.2693,2021-12-21
123.2443,127.2733,115.6157,116.6521,1080.0488,2021-12-22
116.6521,125.0748,116.2755,121.3818,1070.0546,2021-12-23
121.3818,124.5659,113.2189,114.9342,838.0351,2021-12-24
114.9342,116.9424,112.1484,114.9996,894.002,2021-12-25
114.9996,117.9476,109.4254,115.0202,249.825,2021-12-26
115.0202,120.954,113.2908,113.8809,241.1338,2021-12-27
113.8809,116.6852,104.3439,106.9698,712.153,2021-12-28
106.9698,110.5537,102.3495,103.1279,406.9713,2021-12-29
103.1279,105.4102,98.3066,101.7572,424.8845,2021-12-30
101.7572,111.9773,100.3264,109.3962,611.5407,2021-12-31
109.3962,114.4958,108.5542,114.1728,384.5445,2022-01-01
114.1728,117.4446,112.0581,113.0902,427.1691,2022-01-02
113.0902,114.1097,106.0672,108.032,445.2132,2022-01-03
108.032,109.2683,102.8477,103.3748,462.2786,2022-01-04
103.3748,106.6102,90.4738,97.3451,1095.3503,2022-01-05
97.3451,97.9784,91.0491,95.1737,311.7838,2022-01-06
95.1737,95.4958,85.0261,86.77,411.2208,2022-01-07
86.77,89.5868,79.2443,83.8646,413.5943,2022-01-08
83.8646,91.8554,82.511,89.2936,645.7895,2022-01-09
89.2936,90.9649,80.1802,84.4161,1171.4392,2022-01-10
84.4161,90.9407,83.2302,89.5669,846.8664,2022-01-11
89.5669,96.8766,88.8277,95.9857,763.6441,2022-01-12
95.9857,97.2269,89.1425,89.656,802.924,2022-01-13
89.656,91.7519,87.3131,90.3875,12146.3172,2022-01-14
90.3875,94.394,89.4867,93.0404,47403.5965,2022-01-15
93.0404,94.9232,91.8195,92.2144,13173.4383,2022-01-16
92.2144,92.5125,85.3179,86.6689,1670.9109,2022-01-17
86.6689,87.3912,83.67,86.0222,816.2602,2022-01-18
86.0222,86.4094,81.092,82.6272,1162.0668,2022-01-19
82.6272,87.7758,78.6712,79.3842,490.0691,2022-01-20
79.3842,80.3866,63.9406,66.1299,2042.5004,2022-01-21
66.1299,67.5329,52.9485,59.7664,2438.6937,2022-01-22
59.7664,66.8863,59.0667,64.8462,857.6264,2022-01-23
64.8462,64.8462,55.1654,63.014,966.8295,2022-01-24
63.014,70.5302,61.687,67.9547,364.158,2022-01-25
67.9547,73.476,64.3704,65.8008,617.635,2022-01-26
65.8008,67.8829,61.1614,64.7146,525.5407,2022-01-27
64.7146,67.4413,61.7394,67.0162,515.618,2022-01-28
67.0162,73.6158,66.8417,71.9609,407.1574,2022-01-29
71.9609,72.3934,66.8602,67.9569,589.6602,2022-01-30
67.9569,70.6705,64.2136,69.9097,376.719,2022-01-31
69.9097,73.8753,68.5002,73.3004,828.5864,2022-02-01
73.3004,74.8467,67.4329,67.7458,281.8551,2022-02-02
67.7458,69.268,65.0049,68.5002,335.0559,2022-02-03
68.5002,77.8934,67.427,77.722,579.2198,2022-02-04
77.722,80.9418,74.9702,77.0413,408.1206,2022-02-05
77.0413,79.1249,74.1461,78.9872,335.2198,2022-02-06
78.9872,85.3588,77.4278,83.159,688.6031,2022-02-07
83.159,93.0012,81.7042,86.3595,12519.1275,2022-02-08
86.3595,91.9996,84.5003,90.0091,481.0578,2022-02-09
90.0091,95.0576,85.0666,91.1534,513.2522,2022-02-10
91.1534,92.598,80.003,81.7765,444.3528,2022-02-11
81.7765,84.7964,78.782,81.3522,534.9542,2022-02-12
81.3522,83.316,77.5586,77.9737,292.2149,2022-02-13
77.9737,82.6015,76.1652,81.8102,357.7964,2022-02-14
81.8102,93.6947,81.4068,93.0436,551.4786,2022-02-15
93.0436,97.3416,91.4899,95.3971,550.0883,2022-02-16
95.3971,98.7337,86.3294,88.2961,582.4897,2022-02-17
88.2961,89.9965,82.385,83.7211,719.3129,2022-02-18
83.7211,86.3683,80.9148,85.0714,599.9041,2022-02-19
85.0714,85.7285,76.5487,77.3728,403.4255,2022-02-20
