open,high,low,close,volume,date
346.76,364.28,339.54,362.56,4257.1645,2021-06-01
362.19,418.43,350.27,401.18,4723.355,2021-06-02
401.52,433.0,391.0,427.89,7131.2614,2021-06-03
428.27,429.57,365.48,390.35,7133.9393,2021-06-04
391.23,426.04,373.43,389.96,7738.3886,2021-06-05
389.65,400.32,381.6,393.43,5362.4318,2021-06-06
393.9,407.38,354.35,358.17,7567.9919,2021-06-07
357.93,366.47,319.18,352.61,9150.2741,2021-06-08
352.81,378.77,333.44,375.35,5382.5854,2021-06-09
375.86,377.75,344.43,351.98,7321.9382,2021-06-10
352.14,366.48,340.73,345.68,10450.8602,2021-06-11
345.28,349.25,325.13,343.49,9582.7907,2021-06-12
344.09,369.46,330.16,365.49,7874.6268,2021-06-13
365.4,377.46,354.75,370.38,6696.2459,2021-06-14
369.76,379.87,363.33,366.54,9236.3744,2021-06-15
366.22,366.97,343.01,347.08,7031.9693,2021-06-16
347.43,362.88,345.5,352.73,4913.4653,2021-06-17
353.24,357.36,326.98,337.02,8488.8875,2021-06-18
337.12,345.33,331.4,333.82,10078.2341,2021-06-19
333.56,340.74,309.9,338.99,4823.3821,2021-06-20
338.64,342.25,268.46,270.92,5955.2612,2021-06-21
271.21,291.37,225.36,262.27,6630.9132,2021-06-22
261.42,309.68,251.09,296.19,6117.2396,2021-06-23
296.05,316.64,281.34,308.38,9915.7981,2021-06-24
308.16,314.79,275.15,281.25,4840.8841,2021-06-25
280.65,289.99,264.12,280.21,7000.7951,2021-06-26
279.82,291.84,269.35,291.3,9976.1347,2021-06-27
290.72,299.64,283.36,290.06,5233.1073,2021-06-28
290.43,315.87,288.88,301.0,6028.3896,2021-06-29
300.94,305.14,281.31,303.95,7431.3878,2021-06-30
303.6,304.3,281.02,287.36,4626.0543,2021-07-01
286.95,291.09,276.24,286.69,6856.9008,2021-07-02
287.07,303.46,282.62,297.75,4613.7862,2021-07-03
298.41,315.0,292.29,307.62,4375.821,2021-07-04
307.34,307.78,292.02,301.55,7073.0841,2021-07-05
301.7,322.28,301.51,319.88,6498.422,2021-07-06
319.9,339.83,318.14,327.75,5926.6911,2021-07-07
327.53,328.47,304.65,309.75,4539.6893,2021-07-08
310.12,320.01,301.38,316.95,5054.9727,2021-07-09
317.39,321.64,310.45,316.1,4405.7856,2021-07-10
315.94,327.23,311.85,321.65,4675.191,2021-07-11
322.4,334.6,308.32,316.15,7962.434,2021-07-12
316.13,318.59,304.86,309.19,8294.5976,2021-07-13
308.98,313.75,290.15,309.66,9036.3309,2021-07-14
309.26,324.48,301.21,315.91,6555.448,2021-07-15
315.94,323.8,301.42,302.61,8971.2319,2021-07-16
302.7,306.91,294.62,300.33,4940.1815,2021-07-17
300.52,309.52,298.87,301.66,6186.274,2021-07-18
301.86,304.05,278.67,280.56,7961.3861,2021-07-19
280.65,283.85,254.73,264.14,7438.417,2021-07-20
264.75,299.23,261.02,293.53,4609.9819,2021-07-21
293.19,298.35,287.08,293.73,6309.4194,2021-07-22
293.79,301.5,281.13,299.1,8139.426,2021-07-23
299.57,308.09,295.33,301.21,7426.8204,2021-07-24
301.99,304.42,292.41,302.21,7576.2833,2021-07-25
302.96,327.91,300.9,303.61,5479.6188,2021-07-26
304.33,318.67,297.8,313.67,8273.6165,2021-07-27
313.92,318.92,307.76,313.81,4983.902,2021-07-28
313.63,320.52,308.39,317.14,4835.3144,2021-07-29
317.48,325.83,306.17,322.19,7810.5405,2021-07-30
322.26,338.64,317.02,332.28,7699.1881,2021-07-31
331.89,348.06,328.6,332.79,8882.3558,2021-08-01
332.53,338.34,325.87,330.3,7883.9082,2021-08-02
330.33,335.1,316.99,323.64,5563.8958,2021-08-03
323.39,337.57,319.44,334.8,5290.5353,2021-08-04
334.62,340.4,323.36,338.27,4934.7356,2021-08-05
337.72,347.34,330.93,342.66,5104.577,2021-08-06
342.59,360.22,340.13,356.16,7091.326,2021-08-07
355.87,359.99,336.73,341.45,5788.7933,2021-08-08
341.97,357.77,333.14,354.47,7934.2706,2021-08-09
354.18,376.57,348.53,372.02,6918.4994,2021-08-10
371.73,408.62,370.84,391.44,7729.3162,2021-08-11
391.25,406.65,371.49,385.95,7810.3261,2021-08-12
385.3,411.71,382.51,410.97,6458.3959,2021-08-13
411.15,419.28,399.72,409.07,8155.5057,2021-08-14
408.3,415.39,395.83,414.62,6541.4903,2021-08-15
414.64,437.19,410.43,415.5,7671.4579,2021-08-16
416.25,435.95,398.69,402.52,7545.0755,2021-08-17
401.96,412.81,386.23,396.52,6854.2116,2021-08-18
396.54,431.97,390.58,430.85,6839.0328,2021-08-19
431.18,458.21,421.46,454.3,7194.674,2021-08-20
454.29,460.57,444.2,449.05,5882.5184,2021-08-21
448.11,458.87,437.46,448.28,4525.0152,2021-08-22
448.56,510.05,446.37,499.45,6308.2327,2021-08-23
499.28,504.87,460.84,471.34,8630.5028,2021-08-24
472.27,507.46,469.49,503.72,7383.7466,2021-08-25
503.15,518.89,471.72,478.08,8345.4332,2021-08-26
477.59,495.47,468.02,495.24,7167.6222,2021-08-27
495.09,497.14,481.99,485.84,9474.4381,2021-08-28
485.66,496.15,475.9,479.9,8836.005,2021-08-29
479.28,481.45,456.66,459.88,5691.0423,2021-08-30
459.64,477.94,451.62,464.02,8696.0125,2021-08-31
463.86,490.64,454.94,489.81,7796.1791,2021-09-01
489.96,505.33,478.26,484.22,5676.9338,2021-09-02
484.37,494.99,473.04,487.82,7758.7161,2021-09-03
488.14,510.62,484.93,497.2,9305.5199,2021-09-04
497.6,505.0,488.07,504.75,5361.9243,2021-09-05
504.08,509.38,487.09,495.81,5764.7124,2021-09-06
495.81,505.31,364.44,418.06,5958.5894,2021-09-07
418.06,425.94,382.61,415.56,9182.0065,2021-09-08
415.56,436.42,403.49,421.47,6610.1816,2021-09-09
421.47,439.73,393.51,401.46,6233.1213,2021-09-10
401.46,415.6,399.35,404.74,4948.9809,2021-09-11
404.74,421.86,397.23,416.83,4329.6732,2021-09-12
416.83,420.18,384.14,398.55,5394.9342,2021-09-13
398.55,414.9,396.54,414.9,7894.1402,2021-09-14
414.9,437.03,409.57,431.13,7579.2837,2021-09-15
431.13,433.53,416.03,424.0,5388.1495,2021-09-16
424.0,426.4,400.4,407.16,5668.471,2021-09-17
407.16,420.59,401.14,411.24,7893.4871,2021-09-18
411.24,419.55,402.7,408.49,7807.0359,2021-09-19
408.49,410.03,353.78,363.96,5438.0859,2021-09-20
363.96,375.99,336.89,344.59,4687.6297,2021-09-21
344.59,380.32,342.08,379.29,4609.2884,2021-09-22
379.29,385.05,368.78,383.12,5738.642,2021-09-23
383.12,385.47,333.79,355.39,7532.0647,2021-09-24
355.39,360.93,343.23,350.06,6777.6117,2021-09-25
350.06,353.03,320.02,344.9,8336.9836,2021-09-26
344.9,358.01,334.88,335.61,9211.5833,2021-09-27
335.61,344.92,329.59,333.38,9337.2488,2021-09-28
333.38,375.65,331.09,367.37,8594.8748,2021-09-29
367.37,389.23,366.5,386.83,5697.9873,2021-09-30
386.83,423.79,381.26,420.86,8070.0411,2021-10-01
420.86,438.56,410.32,427.19,7971.6124,2021-10-02
427.19,437.39,421.72,430.97,4750.9751,2021-10-03
430.97,431.25,411.42,426.86,4911.2188,2021-10-04
426.86,444.45,423.49,442.3,6113.5763,2021-10-05
442.3,443.17,414.4,434.63,4773.5892,2021-10-06
434.63,450.61,423.6,437.75,6830.1362,2021-10-07
437.75,442.04,415.64,419.34,7190.793,2021-10-08
419.34,426.41,415.94,421.93,5556.115,2021-10-09
421.93,422.65,402.29,404.11,7912.3775,2021-10-10
404.11,424.26,400.13,412.87,7445.543,2021-10-11
412.87,444.79,391.8,444.66,7413.0274,2021-10-12
444.66,472.08,433.1,470.45,7049.8925,2021-10-13
470.45,483.4,461.14,472.75,7531.0055,2021-10-14
472.75,478.14,452.54,473.69,7278.6433,2021-10-15
473.69,484.97,461.11,465.59,6895.7913,2021-10-16
465.59,473.03,454.86,471.11,5966.761,2021-10-17
471.11,488.29,466.4,485.5,5818.6527,2021-10-18
485.5,498.03,480.43,488.2,5078.8149,2021-10-19
488.2,506.26,481.61,501.84,4897.9828,2021-10-20
501.84,505.45,466.56,471.58,5236.6032,2021-10-21
471.58,498.52,471.0,479.2,5512.2266,2021-10-22
479.2,486.29,472.14,486.08,8265.7275,2021-10-23
486.08,487.16,467.47,476.04,6715.1296,2021-10-24
476.04,489.25,474.28,484.37,5574.7728,2021-10-25
484.37,490.24,473.51,477.36,6249.752,2021-10-26
477.36,486.9,435.87,449.22,8117.1695,2021-10-27
399.34,430.97,396.23,413.97,8226.6479,2022-02-05
413.97,422.02,407.13,420.05,10014.8233,2022-02-06
420.05,439.13,413.05,433.54,6368.5033,2022-02-07
433.54,445.31,406.11,407.59,3231.3712,2022-02-08
407.59,427.43,407.01,422.65,1972.8815,2022-02-09
422.65,435.04,410.02,415.0,2682.5286,2022-02-10
415.0,418.91,392.74,399.77,2846.1198,2022-02-11
399.77,407.0,393.22,403.92,2432.0885,2022-02-12
403.92,407.3,394.62,397.74,1963.8504,2022-02-13
397.74,404.62,390.37,403.73,1956.9397,2022-02-14
403.73,441.78,402.34,431.89,1984.7817,2022-02-15
431.89,433.69,422.06,426.98,2289.1632,2022-02-16
426.98,431.5,400.11,402.55,2352.2345,2022-02-17
402.55,411.16,392.22,398.97,1847.9132,2022-02-18
398.97,406.81,393.09,399.84,1590.4421,2022-02-19
399.84,399.98,375.05,380.54,1894.0353,2022-02-20
380.54,393.94,355.01,356.86,1582.4775,2022-02-21
356.86,375.59,348.58,374.22,1286.6078,2022-02-22
374.22,384.54,365.21,365.97,1485.0146,2022-02-23
365.97,370.61,323.57,361.42,2133.213,2022-02-24
361.42,377.24,356.98,375.05,1925.9654,2022-02-25
375.05,385.89,370.46,373.24,1892.8455,2022-02-26
373.24,381.38,357.78,359.91,1347.489,2022-02-27
359.91,397.42,355.58,396.01,2235.0702,2022-02-28
396.01,423.22,390.61,408.6,2327.8959,2022-03-01
408.6,415.93,403.54,409.47,2333.2021,2022-03-02
409.47,413.32,397.33,402.61,2451.4207,2022-03-03
402.61,403.69,371.67,374.18,1463.7172,2022-03-04
374.18,387.49,367.23,384.73,1750.2746,2022-03-05
384.73,387.25,372.37,375.13,1513.4835,2022-03-06
375.13,385.31,363.04,380.8,1239.3727,2022-03-07
380.8,388.17,376.9,381.0,1141.1934,2022-03-08
381.0,402.74,380.75,393.22,1900.0621,2022-03-09
393.22,394.7,362.69,372.05,2505.3529,2022-03-10
372.05,380.12,364.67,371.61,2489.2927,2022-03-11
371.61,379.43,371.16,372.17,2225.3739,2022-03-12
372.17,377.33,360.18,361.65,2330.2194,2022-03-13
361.65,373.95,359.35,373.68,1573.1161,2022-03-14
373.68,374.84,361.62,371.57,2062.0274,2022-03-15
371.57,386.67,367.65,385.53,3250.3901,2022-03-16
385.53,393.42,381.43,391.49,3029.9666,2022-03-17
391.49,400.38,383.74,397.34,1950.0044,2022-03-18
397.34,406.31,394.94,399.82,1777.9141,2022-03-19
399.82,401.07,386.16,390.6,1444.2257,2022-03-20
390.6,399.45,385.31,396.16,1984.7183,2022-03-21
396.16,409.96,394.89,404.22,2082.3586,2022-03-22
404.22,412.02,398.12,408.45,2480.4206,2022-03-23
408.45,416.91,405.09,413.97,1787.2276,2022-03-24
413.97,421.22,405.47,410.27,2136.0002,2022-03-25
410.27,416.74,407.41,416.25,2537.1952,2022-03-26
416.25,430.97,411.82,430.24,2024.6252,2022-03-27
430.24,441.23,428.06,430.05,2229.2248,2022-03-28
430.05,441.91,429.75,434.07,2726.8765,2022-03-29
434.07,449.32,425.94,441.89,2533.0027,2022-03-30
441.89,452.42,423.8,428.92,2638.2783,2022-03-31
428.92,447.73,413.28,446.87,2749.785,2022-04-01
446.87,454.07,435.57,436.72,1394.818,2022-04-02
436.72,455.87,431.92,449.79,2687.1924,2022-04-03
