open,high,low,close,volume,date
454.34,458.99,434.16,444.34,22885.4112,2020-11-09
444.34,454.66,438.93,450.3,14558.9807,2020-11-10
450.3,475.99,449.37,463.11,25123.9553,2020-11-11
463.11,469.93,452.08,462.57,33615.8319,2020-11-12
462.57,477.95,457.62,476.37,32264.9867,2020-11-13
476.37,477.29,452.51,460.52,15362.3654,2020-11-14
460.52,462.79,440.35,448.1,17969.5439,2020-11-15
448.1,465.84,445.69,460.08,20664.1676,2020-11-16
460.08,484.38,459.9,482.13,24798.2282,2020-11-17
482.13,494.99,460.35,478.33,27208.7775,2020-11-18
478.33,480.4,464.99,471.49,31469.7629,2020-11-19
471.49,514.11,470.74,510.16,25400.3353,2020-11-20
510.16,552.75,502.76,552.01,20231.1295,2020-11-21
552.01,580.01,511.79,560.44,13105.0313,2020-11-22
560.44,610.79,550.83,608.99,12502.8158,2020-11-23
608.99,622.0,589.99,605.0,17409.481,2020-11-24
605.0,606.02,555.11,569.54,22364.8968,2020-11-25
569.54,576.87,482.73,519.76,21813.9917,2020-11-26
519.76,530.44,494.25,518.32,22025.4482,2020-11-27
518.32,547.92,507.0,537.66,13646.1119,2020-11-28
537.66,576.73,530.76,575.43,36123.7374,2020-11-29
575.43,616.47,571.05,616.28,24945.2858,2020-11-30
616.28,635.97,409.0,585.33,26998.3911,2020-12-01
585.33,604.48,575.09,598.27,31800.3402,2020-12-02
598.27,623.65,586.09,616.04,21053.8541,2020-12-03
616.04,620.08,565.7,567.85,20228.5618,2020-12-04
567.85,597.18,561.08,596.89,21009.1337,2020-12-05
596.89,607.53,583.01,601.71,21035.2892,2020-12-06
601.71,603.39,584.45,591.29,31453.0832,2020-12-07
591.29,595.13,550.13,555.2,25581.4051,2020-12-08
555.2,577.87,530.0,573.52,25167.1639,2020-12-09
573.52,575.24,548.4,558.42,27240.1728,2020-12-10
558.42,560.52,535.39,544.11,29330.2381,2020-12-11
544.11,573.79,543.42,567.93,24545.9036,2020-12-12
567.93,595.21,563.27,591.34,30266.1711,2020-12-13
591.34,591.64,575.8,586.36,29235.5399,2020-12-14
586.36,597.25,580.07,588.79,18165.608,2020-12-15
588.79,638.86,580.98,637.76,26503.6106,2020-12-16
637.76,676.51,619.0,643.12,36451.1942,2020-12-17
643.12,665.19,629.75,653.78,36644.0473,2020-12-18
653.78,670.3,645.75,658.12,16843.9328,2020-12-19
658.12,661.22,621.18,638.47,21748.8559,2020-12-20
638.47,648.15,596.81,607.69,21306.1076,2020-12-21
607.69,637.8,588.08,637.66,30126.4737,2020-12-22
637.66,638.63,550.0,585.79,35584.9587,2020-12-23
575.53,630.0,565.6,612.66,34540.3737,2020-12-24
612.66,634.41,604.71,626.99,33640.0561,2020-12-25
626.99,653.39,615.99,636.71,29400.2889,2020-12-26
636.71,717.1,626.19,684.89,32033.3765,2020-12-27
684.89,748.03,681.94,730.5,28731.7375,2020-12-28
730.5,740.33,689.98,731.92,26159.9824,2020-12-29
731.92,757.86,716.69,752.0,29380.5998,2020-12-30
752.0,755.79,722.18,735.83,33071.7814,2020-12-31
735.83,749.28,715.04,729.18,33621.1388,2021-01-01
729.18,787.47,714.69,774.35,32660.4533,2021-01-02
774.35,1009.97,769.18,978.78,27435.12,2021-01-03
978.78,1161.62,888.3,1043.56,16827.3289,2021-01-04
1043.56,1134.5,975.38,1100.28,23562.7075,2021-01-05
1100.28,1212.96,1058.29,1207.11,31213.5818,2021-01-06
