open,high,low,close,volume,date
2.5,28.197,2.5,23.157,303341.57,2024-12-18
23.157,27.6,21.577,24.99,421108.2,2024-12-19
24.99,32.0,22.933,29.825,473202.78,2024-12-20
29.825,35.51,28.913,32.111,416551.91,2024-12-21
32.111,35.299,27.408,28.484,417938.57,2024-12-22
28.484,31.2,25.1,28.575,721125.83,2024-12-23
28.575,31.855,27.492,29.798,582577.13,2024-12-24
29.798,30.48,26.24,26.625,405248.66,2024-12-25
26.625,27.222,23.91,27.222,485384.41,2024-12-26
27.222,28.972,25.749,27.125,361644.28,2024-12-27
27.125,29.35,25.875,29.28,226685.92,2024-12-28
29.28,29.514,26.65,27.486,140150.04,2024-12-29
27.486,29.7,26.523,27.023,191442.97,2024-12-30
27.023,27.153,23.09,24.062,211420.55,2024-12-31
24.062,26.55,23.438,26.308,154023.01,2025-01-01
26.308,26.829,22.61,23.24,329263.63,2025-01-02
23.24,24.8,21.55,24.49,372592.48,2025-01-03
24.49,25.75,23.18,25.03,266015.91,2025-01-04
25.03,25.91,24.07,24.41,208895.45,2025-01-05
24.41,26.27,24.02,25.2,160460.17,2025-01-06
25.2,26.29,22.78,23.53,243103.87,2025-01-07
23.53,23.98,20.16,22.54,498256.32,2025-01-08
22.54,23.99,18.42,20.25,753140.3,2025-01-09
20.25,22.2,19.75,20.64,416722.75,2025-01-10
20.64,21.33,19.61,20.91,207778.36,2025-01-11
20.91,23.18,20.0,21.14,149039.39,2025-01-12
21.14,23.29,18.5,21.63,436050.15,2025-01-13
21.63,23.55,21.22,22.92,251566.95,2025-01-14
22.92,24.41,22.1,24.38,221230.41,2025-01-15
24.38,24.42,23.08,23.49,159307.97,2025-01-16
23.49,25.0,22.4,23.08,131412.27,2025-01-17
23.08,23.11,19.26,21.93,456841.15,2025-01-18
21.93,23.79,19.3,20.42,635442.5,2025-01-19
20.42,22.78,19.34,20.53,339500.14,2025-01-20
20.53,25.1,20.06,23.25,267515.14,2025-01-21
23.25,27.03,23.0,24.3,265186.78,2025-01-22
24.3,25.24,21.55,21.96,405570.69,2025-01-23
21.96,24.98,21.15,23.08,218515.85,2025-01-24
23.08,23.94,21.73,23.18,174342.45,2025-01-25
23.18,24.88,22.16,22.16,169312.24,2025-01-26
22.16,23.6,20.17,23.34,447144.22,2025-01-27
23.34,24.44,21.52,22.24,202523.24,2025-01-28
22.24,24.38,21.95,23.73,203215.14,2025-01-29
23.73,27.95,23.35,27.22,296012.35,2025-01-30
27.22,28.5,25.75,26.96,292257.97,2025-01-31
26.96,27.74,22.92,23.19,397053.47,2025-02-01
23.19,24.35,20.62,22.36,1129712.92,2025-02-02
22.36,25.97,20.0,25.17,1738207.96,2025-02-03
25.17,26.88,23.85,25.12,861692.06,2025-02-04
25.12,27.42,24.21,24.76,589535.58,2025-02-05
24.76,26.21,23.58,23.88,586883.93,2025-02-06
23.88,25.16,22.11,22.89,601300.58,2025-02-07
22.89,23.85,22.15,23.44,227374.72,2025-02-08
23.44,24.02,22.13,22.98,183594.0,2025-02-09
22.98,24.23,22.21,23.37,262891.1,2025-02-10
23.37,24.9,22.91,23.54,363829.07,2025-02-11
23.54,25.82,22.55,25.82,465647.88,2025-02-12
25.82,26.29,24.62,26.28,515731.9,2025-02-13
26.28,28.45,25.82,26.22,620936.21,2025-02-14
26.22,26.85,25.35,25.74,330508.66,2025-02-15
25.74,26.92,25.57,26.82,287985.34,2025-02-16
26.82,26.97,24.94,25.4,480177.61,2025-02-17
25.4,27.66,22.29,24.08,1403558.45,2025-02-18
24.08,24.49,22.59,24.08,577392.61,2025-02-19
24.08,25.19,24.03,24.46,463070.56,2025-02-20
24.46,25.86,23.71,24.99,785023.25,2025-02-21
24.99,25.09,24.21,24.81,171031.83,2025-02-22
24.81,24.83,22.8,23.19,256359.59,2025-02-23
23.19,23.47,19.84,19.92,456922.02,2025-02-24
19.92,21.36,16.0,20.19,1061550.43,2025-02-25
20.19,21.44,18.44,19.59,544647.95,2025-02-26
19.59,21.24,19.59,20.92,300923.44,2025-02-27
20.92,20.94,18.52,19.92,611718.2,2025-02-28
19.92,20.52,18.84,19.63,202685.11,2025-03-01
19.63,21.01,18.22,20.54,430077.12,2025-03-02
20.54,21.05,17.48,17.95,412637.97,2025-03-03
17.95,18.14,15.36,17.1,748397.28,2025-03-04
17.1,17.94,16.33,17.19,290207.39,2025-03-05
17.19,17.59,15.0,15.42,370040.83,2025-03-06
15.42,16.43,14.64,15.14,382182.01,2025-03-07
15.14,16.06,15.02,15.1,165760.51,2025-03-08
15.1,15.58,14.21,14.41,242529.65,2025-03-09
14.41,15.36,13.23,13.47,719124.31,2025-03-10
13.47,14.76,12.96,13.79,385489.63,2025-03-11
13.79,15.05,12.42,13.16,659514.39,2025-03-12
13.16,13.65,12.09,12.31,663668.92,2025-03-13
12.31,14.5,12.3,13.77,305165.15,2025-03-14
13.77,14.8,13.77,14.36,121371.78,2025-03-15
14.36,14.4,12.81,12.97,254966.32,2025-03-16
12.97,14.05,12.97,13.25,241757.42,2025-03-17
13.25,14.31,12.86,14.15,202990.85,2025-03-18
14.15,15.78,13.78,15.59,290828.62,2025-03-19
15.59,15.77,13.97,14.15,219377.88,2025-03-20
14.15,15.91,13.88,15.9,214608.51,2025-03-21
15.9,16.7,15.42,15.58,193332.56,2025-03-22
15.58,16.35,15.48,16.32,113868.5,2025-03-23
16.32,17.34,15.73,16.76,196414.19,2025-03-24
16.76,17.01,15.9,16.04,119362.34,2025-03-25
16.04,16.4,12.38,14.03,1592441.35,2025-03-26
14.03,15.14,13.3,14.62,366199.43,2025-03-27
14.62,14.92,13.02,13.4,352108.69,2025-03-28
12.79,13.0,12.2,12.48,225347.19,2025-03-30
12.48,13.47,12.19,12.99,273598.91,2025-03-31
12.99,13.95,12.94,13.31,243315.69,2025-04-01
13.31,14.43,11.68,11.78,500284.83,2025-04-02
11.78,12.61,11.05,11.69,683045.38,2025-04-03
11.69,12.39,11.06,11.88,702918.55,2025-04-04
11.88,12.2,11.43,12.04,184451.55,2025-04-05
12.04,12.09,10.02,10.27,676850.61,2025-04-06
10.27,11.94,9.32,11.5,1604074.02,2025-04-07
11.5,12.63,10.73,11.24,706170.08,2025-04-08
11.24,14.45,11.1,13.59,1146467.19,2025-04-09
13.59,14.54,13.13,14.18,482508.77,2025-04-10
14.18,16.03,13.78,15.71,452902.58,2025-04-11
15.71,16.83,15.13,16.33,397735.04,2025-04-12
16.33,16.86,14.99,15.4,414177.44,2025-04-13
15.4,16.36,15.31,15.74,310271.17,2025-04-14
15.74,16.62,15.02,15.06,302464.97,2025-04-15
15.06,16.27,14.65,15.77,380554.21,2025-04-16
15.77,17.24,15.43,17.19,395630.01,2025-04-17
17.19,17.44,16.34,17.1,235751.35,2025-04-18
17.1,18.3,16.72,18.08,342933.37,2025-04-19
18.08,18.53,17.15,17.64,161529.17,2025-04-20
17.64,18.47,17.24,18.23,202580.14,2025-04-21
18.23,19.31,17.86,19.19,196571.57,2025-04-22
19.19,19.29,18.07,18.48,202429.77,2025-04-23
18.48,19.04,17.7,18.79,133919.54,2025-04-24
18.79,19.2,18.15,18.39,94106.99,2025-04-25
18.39,18.46,17.48,17.93,137348.92,2025-04-26
17.93,18.24,17.31,17.39,74585.05,2025-04-27
17.39,18.75,16.89,18.67,150170.39,2025-04-28
18.67,19.16,18.17,18.62,105124.12,2025-04-29
18.62,20.15,17.62,20.02,156370.19,2025-04-30
20.02,21.17,19.25,19.95,185965.33,2025-05-01
19.95,21.47,19.9,20.82,148428.91,2025-05-02
20.82,21.53,20.05,20.95,123462.41,2025-05-03
20.95,21.22,19.76,19.91,104391.63,2025-05-04
19.91,20.77,19.8,20.29,170962.02,2025-05-05
20.29,21.13,19.51,20.97,195842.22,2025-05-06
20.97,21.46,20.67,21.04,141230.96,2025-05-07
21.04,23.59,20.83,23.33,267380.07,2025-05-08
23.33,25.76,22.95,24.61,293717.06,2025-05-09
24.61,26.31,24.3,26.26,135537.1,2025-05-10
26.26,26.51,23.67,24.85,315744.55,2025-05-11
24.85,25.68,23.26,24.8,184716.93,2025-05-12
24.8,26.4,23.42,25.78,183979.64,2025-05-13
25.78,26.9,24.63,25.21,151100.97,2025-05-14
25.21,26.23,24.28,26.16,260710.98,2025-05-15
26.16,28.25,25.79,26.81,237932.9,2025-05-16
26.81,28.35,25.65,25.9,150718.34,2025-05-17
25.9,27.33,25.85,27.11,226052.36,2025-05-18
27.11,27.29,25.1,26.52,206743.24,2025-05-19
26.52,27.0,25.49,26.51,79193.9,2025-05-20
26.51,28.35,26.05,28.32,179754.64,2025-05-21
28.32,34.06,28.21,33.42,474727.0,2025-05-22
33.42,37.6,32.24,33.04,616179.06,2025-05-23
33.04,36.58,32.11,34.78,274744.77,2025-05-24
34.78,39.46,33.68,39.11,368035.15,2025-05-25
39.11,39.96,36.51,37.12,323775.95,2025-05-26
37.12,38.82,35.59,35.76,350666.88,2025-05-27
35.76,36.37,32.54,34.29,361639.73,2025-05-28
34.29,35.17,31.33,31.37,360918.73,2025-05-29
31.37,34.29,30.62,32.8,322570.34,2025-05-30
32.8,33.62,30.76,32.69,298983.27,2025-05-31
32.69,34.24,31.51,34.13,163996.66,2025-06-01
34.13,36.64,32.4,36.47,206901.68,2025-06-02
36.47,38.58,35.64,36.07,274675.67,2025-06-03
36.07,37.19,34.48,35.61,191825.19,2025-06-04
35.61,36.38,32.59,33.99,235345.66,2025-06-05
33.99,35.56,33.06,33.33,191704.25,2025-06-06
33.33,35.13,33.01,34.91,104991.1,2025-06-07
34.91,36.29,34.49,34.96,113201.3,2025-06-08
34.96,39.23,34.68,38.8,209815.13,2025-06-09
38.8,42.34,38.43,42.19,322115.16,2025-06-10
42.19,44.08,40.68,41.79,601372.262813,2025-06-11
41.79,43.86,40.26,40.5,787389.087845,2025-06-12
40.5,42.76,37.25,42.26,1611557.467534,2025-06-13
42.26,42.65,38.84,40.11,391382.174009,2025-06-14
40.11,41.43,39.65,41.16,337844.262652,2025-06-15
41.16,45.82,40.67,41.86,740623.03457,2025-06-16
41.86,43.51,38.27,39.93,1054503.134607,2025-06-17
39.93,41.1,37.54,39.44,894589.607535,2025-06-18
39.44,39.96,35.78,36.87,639733.934046,2025-06-19
36.87,37.88,33.05,33.36,1233054.374946,2025-06-20
33.36,35.3,30.92,34.45,721005.039612,2025-06-21
34.45,36.25,31.55,35.78,1360642.841561,2025-06-22
35.78,38.49,33.27,38.24,1614126.11804,2025-06-23
38.24,38.94,36.29,37.53,814167.924265,2025-06-24
37.53,39.56,36.68,37.03,683029.53826,2025-06-25
37.03,38.11,35.75,35.81,520093.627494,2025-06-26
35.81,37.26,35.35,36.62,411385.035036,2025-06-27
36.62,37.9,36.23,37.8,160914.862191,2025-06-28
37.8,39.86,37.5,39.74,388945.79325,2025-06-29
39.74,41.21,39.13,39.53,721293.251643,2025-06-30
39.53,39.78,36.84,36.92,686965.750942,2025-07-01
36.92,40.33,36.83,39.83,790797.053949,2025-07-02
39.83,41.19,39.6,40.2,651793.2982076,2025-07-03
40.2,40.42,37.59,38.98,466793.680164,2025-07-04
38.98,39.63,38.32,39.14,328726.4658984,2025-07-05
39.14,40.05,37.85,39.85,562388.2453608,2025-07-06
39.85,40.17,38.27,38.62,454108.5409512,2025-07-07
38.62,39.1,37.01,38.84,489544.7473416,2025-07-08
38.84,41.03,38.78,40.68,956733.5314368,2025-07-09
40.68,44.05,40.52,43.78,993765.9161622,2025-07-10
43.78,47.0,43.39,46.35,1527320.933376,2025-07-11
46.35,47.37,45.05,47.08,683620.418856,2025-07-12
47.08,49.28,46.93,48.92,695058.078754,2025-07-13
48.92,49.88,46.47,47.59,1031113.041132,2025-07-14
47.59,48.34,46.64,47.84,888415.857821,2025-07-15
47.84,48.57,46.47,46.96,719349.367811,2025-07-16
46.96,47.36,44.46,45.55,966044.62764,2025-07-17
45.55,47.39,43.03,44.32,1031465.393662,2025-07-18
44.32,45.3,43.99,44.49,308789.189374,2025-07-19
44.49,47.37,44.19,46.0,642813.535864,2025-07-20
46.0,47.76,44.0,44.32,547480.230192,2025-07-21
44.32,47.5,43.03,46.29,665372.863329,2025-07-22
46.29,46.33,42.42,43.7,914549.839442,2025-07-23
43.7,44.38,41.49,42.07,881121.630518,2025-07-24
42.07,44.18,41.13,44.13,1100065.488222,2025-07-25
44.13,44.93,43.34,43.37,357852.192549,2025-07-26
43.37,44.3,42.42,43.64,379663.285889,2025-07-27
43.64,46.09,42.66,43.75,1083445.85287,2025-07-28
43.75,45.28,42.52,43.53,1096097.123726,2025-07-29
43.53,43.74,40.71,42.23,976431.484097,2025-07-30
42.23,44.7,40.67,40.84,1155414.766586,2025-07-31
40.84,41.66,36.38,37.64,1775285.746895,2025-08-01
37.64,38.75,35.55,36.92,692032.278585,2025-08-02
36.92,39.32,36.46,38.21,453595.013234,2025-08-03
38.21,39.47,37.29,38.83,647073.975451,2025-08-04
38.83,39.87,37.44,38.52,1048096.528059,2025-08-05
