open,high,low,close,volume,date
26.145,28.285,20.184,26.924,18749.3203,2021-06-22
27.002,32.864,25.633,30.819,22616.4,2021-06-23
30.831,32.992,28.475,31.143,23033.07,2021-06-24
31.159,32.973,27.972,28.655,25150.12,2021-06-25
28.656,30.061,26.673,29.705,24917.14,2021-06-26
29.641,31.951,29.178,31.93,21241.3,2021-06-27
31.838,34.317,30.963,32.988,9775.5,2021-06-28
32.988,35.812,32.646,33.909,5354.72,2021-06-29
33.958,35.959,31.591,35.463,4308.33,2021-06-30
35.5,35.556,32.236,33.316,3105.09,2021-07-01
33.309,34.089,31.427,34.03,2640.32,2021-07-02
34.023,35.394,33.249,34.467,3028.17,2021-07-03
34.453,35.521,33.527,34.275,3208.03,2021-07-04
34.224,34.495,32.479,32.905,4982.59,2021-07-05
32.902,35.011,32.866,34.288,2840.2,2021-07-06
34.191,38.072,33.803,36.655,3308.64,2021-07-07
36.6,36.934,32.721,33.212,3216.73,2021-07-08
33.196,34.432,31.963,33.308,2642.56,2021-07-09
33.283,34.225,31.074,31.689,2458.58,2021-07-10
31.73,32.556,31.331,32.194,3995.07,2021-07-11
32.228,32.672,30.026,30.759,2373.52,2021-07-12
30.747,31.128,28.892,29.133,2229.58,2021-07-13
29.195,31.451,27.457,31.307,1910.41,2021-07-14
31.394,31.524,27.981,28.51,2477.27,2021-07-15
28.609,29.49,26.178,26.234,3438.12,2021-07-16
26.268,27.78,25.987,26.724,3057.84,2021-07-17
26.756,27.754,26.275,26.653,2084.65,2021-07-18
26.719,26.73,23.996,24.513,3315.16,2021-07-19
24.55,24.994,22.138,23.452,2838.71,2021-07-20
23.473,27.436,22.853,26.676,1905.5,2021-07-21
26.705,28.165,25.922,27.719,2094.61,2021-07-22
27.707,28.7,26.389,28.541,2678.89,2021-07-23
28.549,29.484,28.043,28.604,4114.98,2021-07-24
28.66,28.897,26.521,28.209,4132.97,2021-07-25
28.282,31.083,27.89,28.198,2908.26,2021-07-26
28.216,28.98,26.888,28.151,2259.07,2021-07-27
28.069,28.782,27.382,27.9,2803.52,2021-07-28
27.886,31.907,27.31,31.331,2328.63,2021-07-29
31.29,33.051,29.992,32.384,3009.07,2021-07-30
32.398,36.915,31.704,36.709,4432.93,2021-07-31
36.789,36.821,33.281,34.256,3632.88,2021-08-01
34.229,35.935,33.014,33.159,2744.06,2021-08-02
33.214,35.838,32.394,34.13,7315.86,2021-08-03
34.083,36.691,33.227,35.785,10715.24,2021-08-04
35.711,38.271,35.488,37.338,5944.41,2021-08-05
37.326,40.412,35.642,39.45,4773.03,2021-08-06
39.558,40.526,37.521,39.504,4098.87,2021-08-07
39.402,39.588,36.887,37.648,7988.36,2021-08-08
37.671,40.044,36.351,38.663,10432.48,2021-08-09
38.672,41.706,38.167,40.614,7096.43,2021-08-10
40.691,43.763,40.57,41.673,5060.78,2021-08-11
41.616,43.432,39.337,41.095,4697.15,2021-08-12
41.104,44.964,40.665,44.798,5651.4,2021-08-13
44.915,44.919,42.745,44.174,5745.77,2021-08-14
44.076,54.73,43.382,53.557,6970.06,2021-08-15
53.561,69.103,52.331,62.202,6153.47,2021-08-16
62.008,75.012,59.019,64.037,3865.39,2021-08-17
64.075,80.433,59.816,72.667,9168.53,2021-08-18
72.779,75.26,68.453,72.866,5699.14,2021-08-19
72.729,79.977,70.845,78.729,3678.44,2021-08-20
78.686,81.899,72.568,73.829,4333.07,2021-08-21
73.925,77.554,71.281,72.637,7012.12,2021-08-22
72.656,76.718,71.489,75.686,4846.15,2021-08-23
75.569,79.37,68.566,70.634,13360.6897,2021-08-24
70.434,72.82,66.083,71.981,16883.04,2021-08-25
71.934,78.188,66.208,74.784,22491.8,2021-08-26
74.921,88.898,72.593,88.022,25194.25,2021-08-27
87.996,97.875,85.556,96.213,26492.98,2021-08-28
96.255,97.822,90.507,94.25,22062.51,2021-08-29
94.205,116.281,93.647,110.151,20793.31,2021-08-30
110.208,129.966,103.152,108.269,21245.95,2021-08-31
108.267,119.653,105.996,110.781,20743.46,2021-09-01
110.793,131.946,109.312,128.217,23317.15,2021-09-02
128.214,148.884,128.158,146.393,12322.49,2021-09-03
146.363,150.621,135.886,138.997,20753.84,2021-09-04
138.941,144.983,134.893,142.002,11924.25,2021-09-05
142.024,165.997,137.815,164.168,11024.33,2021-09-06
164.168,195.307,135.841,173.493,10729.84,2021-09-07
173.493,197.906,146.684,190.952,15613.37,2021-09-08
190.952,215.544,181.133,187.819,14761.25,2021-09-09
187.819,197.332,168.331,179.569,10775.77,2021-09-10
179.569,193.346,175.256,179.179,16461.73,2021-09-11
179.179,181.547,170.222,174.282,17363.09,2021-09-12
174.282,174.929,150.455,169.747,20782.48,2021-09-13
169.747,171.79,142.744,158.606,19933.75,2021-09-14
158.606,166.343,153.888,158.791,17021.59,2021-09-15
158.791,163.12,147.387,152.141,24170.89,2021-09-16
152.141,153.41,134.356,147.481,24490.9,2021-09-17
147.481,171.429,144.211,169.218,25298.13,2021-09-18
169.218,170.902,150.623,152.852,16387.71,2021-09-19
152.852,153.455,130.344,132.733,17778.3,2021-09-20
132.733,144.538,115.924,123.956,16215.59,2021-09-21
123.956,151.337,122.16,148.14,16240.46,2021-09-22
148.14,152.34,143.022,149.979,20426.36,2021-09-23
149.979,151.221,128.146,139.122,14273.62,2021-09-24
139.122,144.103,133.586,136.116,12584.1,2021-09-25
136.116,140.714,124.715,135.693,12922.56,2021-09-26
135.693,148.947,133.74,136.368,16009.78,2021-09-27
136.368,139.389,128.085,132.21,20523.91,2021-09-28
132.21,140.101,131.207,135.25,19691.89,2021-09-29
135.25,142.928,134.056,141.336,12898.27,2021-09-30
141.336,164.945,138.272,161.644,11048.64,2021-10-01
161.644,174.947,156.136,168.979,15717.33,2021-10-02
168.979,177.637,165.685,173.007,11867.28,2021-10-03
173.007,173.046,162.524,167.126,8902.7,2021-10-04
167.126,170.148,160.027,164.546,23638.9,2021-10-05
164.546,165.448,150.195,153.812,17477.76,2021-10-06
153.812,161.391,150.394,154.142,14569.34,2021-10-07
154.142,168.901,152.419,158.834,22594.02,2021-10-08
158.834,161.426,154.197,156.846,23452.09,2021-10-09
156.846,158.508,145.822,147.696,23751.38,2021-10-10
147.696,154.02,140.268,144.833,24152.0,2021-10-11
144.833,153.44,137.64,152.352,26752.3,2021-10-12
152.352,155.543,144.329,147.903,31054.39,2021-10-13
147.903,155.704,147.241,150.078,16011.13,2021-10-14
150.078,165.321,146.89,163.193,27486.54,2021-10-15
