open,high,low,close,volume,date
0.2537,0.25615,0.24562,0.25053,275408.1461,2020-11-09
0.25053,0.26467,0.2481,0.25378,210122.7037,2020-11-10
0.25378,0.25984,0.25227,0.25582,282364.2617,2020-11-11
0.25582,0.25819,0.25245,0.2549,262433.8952,2020-11-12
0.2549,0.26572,0.25371,0.26563,273466.985,2020-11-13
0.26563,0.27719,0.26148,0.26815,272003.0154,2020-11-14
0.26815,0.27675,0.26402,0.26961,233462.9447,2020-11-15
0.26961,0.28993,0.26739,0.28776,170321.1053,2020-11-16
0.28776,0.30504,0.28725,0.30249,250018.4266,2020-11-17
0.30249,0.30799,0.28145,0.29332,278133.481,2020-11-18
0.29332,0.30659,0.28401,0.30374,193194.8519,2020-11-19
0.30374,0.33088,0.29688,0.32987,109781.1968,2020-11-20
0.32987,0.46883,0.32934,0.46275,138330.3068,2020-11-21
0.46275,0.49618,0.40463,0.44614,260938.1935,2020-11-22
0.44614,0.6197,0.43253,0.61627,223595.8258,2020-11-23
0.61627,0.78018,0.56979,0.69308,123252.8409,2020-11-24
0.69308,0.72327,0.58409,0.63097,263343.0295,2020-11-25
0.63097,0.65173,0.4577,0.5363,262383.0457,2020-11-26
0.5363,0.58613,0.50364,0.56172,249741.7536,2020-11-27
0.56172,0.64799,0.53925,0.626,264525.1935,2020-11-28
0.626,0.6367,0.58352,0.6051,264906.7846,2020-11-29
0.6051,0.67801,0.59958,0.66406,300406.7638,2020-11-30
0.66406,0.68058,0.57846,0.61111,306258.8026,2020-12-01
0.61111,0.63665,0.59524,0.63055,313858.1746,2020-12-02
0.63055,0.64167,0.615,0.63046,297476.9203,2020-12-03
0.63046,0.63414,0.54309,0.55398,184589.6646,2020-12-04
0.55398,0.59609,0.54889,0.58514,154492.696,2020-12-05
0.58514,0.62796,0.57936,0.62109,171281.7855,2020-12-06
0.62109,0.62379,0.59103,0.60806,242514.55,2020-12-07
0.60806,0.61037,0.55059,0.55898,214178.3129,2020-12-08
0.55898,0.60461,0.50412,0.58293,198986.3273,2020-12-09
0.58293,0.58819,0.55355,0.57186,124255.3343,2020-12-10
0.57186,0.58686,0.52667,0.547,232990.9095,2020-12-11
0.547,0.54945,0.48568,0.50617,168842.4068,2020-12-12
0.50617,0.52763,0.48605,0.51398,259248.9963,2020-12-13
0.51398,0.51852,0.4892,0.4974,350517.9444,2020-12-14
0.4974,0.50712,0.46456,0.468,277538.7542,2020-12-15
0.468,0.57391,0.43832,0.57031,305062.1823,2020-12-16
0.57031,0.65837,0.54089,0.57715,311692.2139,2020-12-17
0.57715,0.61325,0.55117,0.58347,344085.3599,2020-12-18
0.58347,0.60352,0.56586,0.57641,372814.3337,2020-12-19
0.57641,0.58646,0.53241,0.55615,240780.028,2020-12-20
0.55615,0.5691,0.5,0.51461,406330.7993,2020-12-21
0.51461,0.52189,0.40261,0.44752,388374.0923,2020-12-22
0.44752,0.44836,0.2149,0.26039,395591.0356,2020-12-23
0.26039,0.37676,0.24101,0.338,219924.8304,2020-12-24
0.338,0.38407,0.27992,0.31807,186330.4181,2020-12-25
0.31807,0.3274,0.28351,0.29439,223524.4532,2020-12-26
0.29439,0.31144,0.26709,0.28388,184268.2024,2020-12-27
0.28388,0.31,0.23564,0.24832,206192.5459,2020-12-28
0.24832,0.425,0.17334,0.22136,508295.9837,2020-12-29
0.22136,0.23652,0.19226,0.21141,591590.5471,2020-12-30
0.21141,0.22951,0.20511,0.21928,260519.5715,2020-12-31
0.21928,0.25007,0.21599,0.23728,338085.5124,2021-01-01
0.23728,0.23816,0.21097,0.22104,214510.1764,2021-01-02
0.22104,0.23841,0.21523,0.22523,229821.2668,2021-01-03
0.22523,0.2602,0.21619,0.2357,350734.5599,2021-01-04
0.2357,0.24258,0.21774,0.22555,268438.8999,2021-01-05
0.22555,0.27277,0.22141,0.24871,495360.0911,2021-01-06
0.24871,0.37191,0.2454,0.32385,490678.6824,2021-01-07
0.32385,0.34661,0.28509,0.32057,429000.5904,2021-01-08
0.32057,0.33926,0.30586,0.32478,350708.1656,2021-01-09
0.32478,0.36764,0.28769,0.31487,634042.6402,2021-01-10
0.31487,0.31613,0.25346,0.28733,244177.6837,2021-01-11
0.28733,0.30985,0.27769,0.29242,354439.259,2021-01-12
0.29242,0.30991,0.28496,0.30577,420965.3657,2021-01-13
0.30577,0.30888,0.28339,0.29658,207781.8291,2021-01-14
0.29658,0.30336,0.26143,0.28013,264435.8154,2021-01-15
0.28013,0.29653,0.27511,0.27919,313412.1351,2021-01-16
0.27919,0.2856,0.2685,0.27753,346755.0859,2021-01-17
0.27753,0.28871,0.27152,0.28526,420097.8406,2021-01-18
0.28526,0.3288,0.28397,0.29412,492805.736,2021-01-19
0.29412,0.31136,0.2803,0.29522,435455.1418,2021-01-20
0.29522,0.30729,0.2,0.26787,297607.294,2021-01-21
0.26787,0.278,0.24001,0.27262,287324.3505,2021-01-22
0.27262,0.28349,0.26544,0.27164,479582.9027,2021-01-23
0.27164,0.27792,0.2683,0.27346,453427.7544,2021-01-24
0.27346,0.28487,0.26684,0.26759,370520.7663,2021-01-25
0.26759,0.27098,0.25784,0.2683,515168.71,2021-01-26
0.2683,0.26869,0.026,0.25053,355716.559,2021-01-27
0.25053,0.27004,0.24703,0.26407,487052.3439,2021-01-28
0.26407,0.31674,0.25996,0.28279,277688.5168,2021-01-29
0.28279,0.51505,0.27875,0.44355,642013.4783,2021-01-30
0.44355,0.50862,0.38807,0.495,356504.2542,2021-01-31
0.495,0.75416,0.36009,0.37169,363735.9311,2021-02-01
0.37169,0.41103,0.34079,0.37275,250418.7426,2021-02-02
0.37275,0.41846,0.37259,0.39719,424416.5926,2021-02-03
0.39719,0.4802,0.37981,0.4443,286638.9658,2021-02-04
0.4443,0.47124,0.42436,0.45219,276956.9909,2021-02-05
0.45219,0.45724,0.42675,0.44291,252476.3302,2021-02-06
0.44291,0.45062,0.39427,0.41826,274098.9019,2021-02-07
0.41826,0.46736,0.41239,0.45115,276761.9702,2021-02-08
0.45115,0.4898,0.44917,0.47664,492378.9218,2021-02-09
0.47664,0.54112,0.45008,0.50443,283802.3185,2021-02-10
0.50443,0.5364,0.50026,0.52811,494066.096,2021-02-11
0.52811,0.61952,0.51939,0.60877,465042.9027,2021-02-12
0.60877,0.6425,0.54564,0.63265,601766.1175,2021-02-13
0.63265,0.6398,0.56136,0.59184,401172.5413,2021-02-14
0.59184,0.60435,0.51021,0.55021,396781.4308,2021-02-15
0.55021,0.57997,0.482,0.51986,367714.4275,2021-02-16
0.51986,0.55708,0.49398,0.53428,314534.82,2021-02-17
0.53428,0.55968,0.52005,0.53202,394927.6191,2021-02-18
0.53202,0.58079,0.51365,0.56434,269020.229,2021-02-19
0.56434,0.58221,0.47402,0.51196,445849.3005,2021-02-20
0.51196,0.5586,0.34,0.54384,496879.1303,2021-02-21
0.54384,0.64772,0.51,0.56558,795224.7519,2021-02-22
0.56558,0.611,0.36344,0.47608,798953.6707,2021-02-23
0.47608,0.49963,0.4512,0.46899,1094742.0148,2021-02-24
0.46899,0.48208,0.4254,0.43549,643107.0542,2021-02-25
0.43549,0.45042,0.41128,0.4281,355825.4766,2021-02-26
0.4281,0.45864,0.42714,0.43604,466177.8882,2021-02-27
0.43604,0.43838,0.3929,0.41559,359501.4287,2021-02-28
0.41559,0.45397,0.41211,0.44526,544952.459,2021-03-01
0.44526,0.4547,0.42223,0.4357,239030.9485,2021-03-02
0.4357,0.46758,0.43001,0.44831,348277.4701,2021-03-03
0.44831,0.4941,0.43512,0.48094,567934.0756,2021-03-04
0.48094,0.48449,0.44616,0.45482,564224.6157,2021-03-05
0.45482,0.47065,0.44826,0.46241,668250.6131,2021-03-06
0.46241,0.4689,0.45701,0.46582,479681.2611,2021-03-07
0.46582,0.48956,0.45487,0.47409,667269.626,2021-03-08
0.47409,0.48727,0.47114,0.48478,548993.8823,2021-03-09
0.48478,0.48834,0.45484,0.46159,428103.9198,2021-03-10
0.46159,0.46425,0.441,0.45177,814957.0915,2021-03-11
0.45177,0.46478,0.4244,0.43946,661872.4203,2021-03-12
0.43946,0.46635,0.4244,0.45768,512673.2595,2021-03-13
0.45768,0.46157,0.43883,0.43904,938280.104,2021-03-14
0.43904,0.44824,0.3,0.43546,1377731.8791,2021-03-15
0.43546,0.52006,0.4274,0.46051,450844.7155,2021-03-16
0.46051,0.48231,0.45404,0.46998,662594.9575,2021-03-17
0.46998,0.49055,0.46578,0.46895,467503.8076,2021-03-18
0.46895,0.47528,0.45915,0.4665,504763.9464,2021-03-19
0.4665,0.54996,0.46437,0.52596,618180.0999,2021-03-20
0.52596,0.54637,0.4952,0.51669,312799.9572,2021-03-21
0.51669,0.59999,0.50085,0.54398,577504.9504,2021-03-22
0.54398,0.59633,0.53789,0.54872,504884.5514,2021-03-23
0.54872,0.56296,0.4527,0.48057,414288.8528,2021-03-24
0.48057,0.539,0.45627,0.51074,437756.1451,2021-03-25
0.51074,0.57598,0.51032,0.56343,238954.7006,2021-03-26
0.56343,0.57439,0.53425,0.54754,293229.3682,2021-03-27
0.54754,0.56043,0.53889,0.54544,303389.1972,2021-03-28
0.54544,0.57056,0.54339,0.56527,377975.7322,2021-03-29
0.56527,0.58714,0.55903,0.56208,363161.8805,2021-03-30
0.56208,0.57613,0.52711,0.5698,499163.8821,2021-03-31
0.5698,0.59475,0.54941,0.57091,477870.2912,2021-04-01
0.57091,0.60949,0.56524,0.60688,526419.0666,2021-04-02
0.60688,0.64237,0.57392,0.57861,286861.5661,2021-04-03
0.57861,0.63585,0.56689,0.63499,469449.3052,2021-04-04
0.63499,0.93832,0.61932,0.91441,548672.3794,2021-04-05
0.91441,1.11619,0.81054,1.09467,329433.2228,2021-04-06
1.09467,1.10571,0.85728,0.91653,500240.5666,2021-04-07
0.91653,1.0723,0.90259,1.05581,307036.0795,2021-04-08
1.05581,1.08423,0.98157,1.01833,266019.7135,2021-04-09
1.01833,1.39728,1.007,1.37146,349211.8365,2021-04-10
1.37146,1.49627,1.30559,1.35087,844625.6636,2021-04-11
1.35087,1.47408,1.31841,1.47095,906754.9208,2021-04-12
1.47095,1.88893,1.41941,1.79607,1120145.5052,2021-04-13
1.79607,1.96592,1.56614,1.83441,783682.5922,2021-04-14
1.83441,1.88506,1.65293,1.75811,1695273.9452,2021-04-15
1.75811,1.80836,1.41637,1.54728,819518.5228,2021-04-16
1.54728,1.74006,1.53129,1.53908,672712.8978,2021-04-17
1.53908,1.56443,1.14725,1.4084,1089185.2946,2021-04-18
1.4084,1.62,1.25262,1.30966,599410.5828,2021-04-19
1.30966,1.44376,1.1793,1.38513,491285.6112,2021-04-20
1.38513,1.46418,1.28108,1.28976,482100.4798,2021-04-21
1.28976,1.41783,1.09258,1.15671,503539.4164,2021-04-22
1.15671,1.19638,0.88643,1.16945,857549.3476,2021-04-23
1.16945,1.17107,1.02241,1.04978,338842.9922,2021-04-24
1.04978,1.1539,0.94929,1.03553,381774.1882,2021-04-25
1.03553,1.36954,1.01468,1.36486,689146.3362,2021-04-26
1.36486,1.46151,1.3321,1.40279,318172.9504,2021-04-27
1.40279,1.44671,1.28763,1.35589,292992.4826,2021-04-28
1.3582,1.4179,1.32855,1.39749,292351.1632,2021-04-29
1.39726,1.6358,1.37546,1.59842,352997.7155,2021-04-30
1.60009,1.65949,1.5324,1.65175,270701.0201,2021-05-01
1.65192,1.65597,1.53,1.56153,227431.4515,2021-05-02
1.5603,1.6203,1.51,1.5552,305909.9356,2021-05-03
1.555,1.5568,1.3293,1.3848,358995.1792,2021-05-04
1.3865,1.6212,1.3726,1.613,466017.9862,2021-05-05
1.6218,1.7511,1.5305,1.6024,378080.926,2021-05-06
1.6036,1.6915,1.5087,1.57971,428283.2435,2021-05-07
1.57981,1.62713,1.54009,1.56182,775384.9336,2021-05-08
1.56099,1.595,1.42516,1.53357,909684.0485,2021-05-09
1.5349,1.6268,1.21582,1.38966,1853621.3443,2021-05-10
1.39156,1.48863,1.3562,1.4775,1208706.971,2021-05-11
1.4779,1.54781,1.23886,1.26772,1661108.667,2021-05-12
1.27067,1.39029,1.19707,1.36305,1703031.0149,2021-05-13
1.36508,1.44793,1.32061,1.3999,1528156.7982,2021-05-14
1.40201,1.58318,1.3214,1.49002,1400035.1073,2021-05-15
1.49246,1.61266,1.34094,1.44884,1167837.8589,2021-05-16
1.44822,1.56458,1.32413,1.49572,1997652.8117,2021-05-17
1.49778,1.70553,1.4719,1.58847,1933424.015,2021-05-18
1.58782,1.64494,0.85064,1.06062,1944697.6939,2021-05-19
1.05634,1.26579,0.90638,1.18171,1211776.0913,2021-05-20
1.17945,1.22018,0.86607,1.00872,1187606.1383,2021-05-21
1.0083,1.01734,0.81432,0.90616,1122644.9813,2021-05-22
0.90518,0.96768,0.64869,0.79278,969113.8322,2021-05-23
0.7893,0.99871,0.75446,0.99026,916297.5554,2021-05-24
0.99281,1.056,0.87852,0.97285,1094429.164,2021-05-25
0.97245,1.06997,0.94521,1.03334,1610427.7449,2021-05-26
1.03292,1.04307,0.9316,0.97245,1595786.9593,2021-05-27
1.2538,1.32,1.23809,1.30772,1711091.2658,2021-09-05
1.30574,1.41577,1.285,1.38995,2199755.5378,2021-09-06
1.38995,1.448,0.95915,1.12831,4886518.304,2021-09-07
1.12831,1.14878,1.01201,1.0983,3839172.3559,2021-09-08
1.0983,1.13821,1.07348,1.08573,2462754.5789,2021-09-09
1.08573,1.24474,1.03101,1.05489,2790439.8196,2021-09-10
1.05489,1.11235,1.04938,1.07715,1953263.0434,2021-09-11
1.07715,1.12838,1.032,1.11815,2117482.8773,2021-09-12
1.11815,1.12731,1.02544,1.0629,2450733.3974,2021-09-13
1.0629,1.09877,1.05592,1.09482,1415216.9607,2021-09-14
1.09482,1.12838,1.07774,1.12145,1608406.9267,2021-09-15
1.12145,1.12837,1.06612,1.09069,1676639.664,2021-09-16
1.09069,1.10383,1.05,1.06586,1923507.3595,2021-09-17
1.06586,1.0956,1.05542,1.0754,1655807.2154,2021-09-18
1.0754,1.08478,1.0385,1.04727,1896329.4617,2021-09-19
1.04727,1.05095,0.87533,0.92269,3261774.1776,2021-09-20
0.92269,0.96017,0.85776,0.87339,2785799.9823,2021-09-21
0.87339,1.01,0.86759,1.00231,2739591.5105,2021-09-22
1.00231,1.03,0.96773,1.00179,3222426.3362,2021-09-23
1.00179,1.00369,0.88721,0.94296,3183700.2334,2021-09-24
0.94296,0.95692,0.916,0.94001,2960335.8488,2021-09-25
0.94001,0.95781,0.89089,0.94419,2400358.6783,2021-09-26
0.94419,0.98209,0.91905,0.92124,3362705.3249,2021-09-27
0.92124,0.94158,0.88975,0.89226,2641740.6389,2021-09-28
0.89226,0.99426,0.88556,0.92656,2636906.7143,2021-09-29
0.92656,0.96434,0.92085,0.95206,2579441.4356,2021-09-30
0.95206,1.06688,0.94325,1.04186,3507699.6273,2021-10-01
1.04186,1.06998,1.00708,1.03732,2538622.6645,2021-10-02
1.03732,1.08933,1.02006,1.05386,2137115.5605,2021-10-03
1.05386,1.0604,0.999,1.04196,1953705.4291,2021-10-04
1.04196,1.08694,1.03732,1.083,2075835.3905,2021-10-05
1.083,1.10871,1.01678,1.07669,3782266.5877,2021-10-06
1.07669,1.09429,1.04365,1.06836,2789965.7089,2021-10-07
1.06836,1.09338,1.05419,1.06203,2803567.2358,2021-10-08
1.06203,1.20979,1.05534,1.15885,2235068.3189,2021-10-09
1.15885,1.23012,1.12694,1.13442,2564958.5943,2021-10-10
1.13442,1.18249,1.104,1.13737,2858626.4284,2021-10-11
1.13737,1.1376,1.06435,1.10076,3137710.3035,2021-10-12
1.10076,1.13911,1.06,1.12739,3113606.8158,2021-10-13
1.12739,1.15904,1.115,1.13224,2672674.61,2021-10-14
1.13224,1.1659,1.0943,1.13989,4433084.5727,2021-10-15
1.13989,1.18704,1.09565,1.1347,2522943.071,2021-10-16
1.1347,1.145,1.02146,1.09287,2082878.6879,2021-10-17
1.09287,1.10712,1.057,1.08466,3283013.0678,2021-10-18
1.08466,1.122,1.06708,1.0903,2545941.6161,2021-10-19
1.0903,1.15283,1.0815,1.14493,3974633.2261,2021-10-20
1.14493,1.16336,1.08407,1.08853,4005425.5036,2021-10-21
1.08853,1.12672,1.07694,1.08831,3097160.5595,2021-10-22
1.08831,1.10186,1.07694,1.09259,2526004.1197,2021-10-23
1.09259,1.09631,1.0415,1.08157,2420397.5267,2021-10-24
1.08157,1.13487,1.07617,1.09571,2336391.5099,2021-10-25
1.09571,1.15968,1.09153,1.10678,3117548.5503,2021-10-26
1.10678,1.12608,0.94731,0.99407,4828625.9388,2021-10-27
0.99407,1.08255,0.98,1.05745,3962646.0479,2021-10-28
1.05745,1.0887,1.05385,1.08016,3302878.8291,2021-10-29
1.08016,1.12,1.05933,1.08598,2663670.7845,2021-10-30
1.08598,1.15547,1.07007,1.11281,3355101.9509,2021-10-31
1.11281,1.13268,1.06639,1.09025,2911447.508,2021-11-01
1.09025,1.14786,1.08402,1.13391,3104966.8982,2021-11-02
1.13391,1.2345,1.12509,1.20838,3752811.6179,2021-11-03
1.20838,1.25806,1.159,1.19905,3251847.3776,2021-11-04
1.19905,1.20275,1.13287,1.15711,2293531.4714,2021-11-05
1.15711,1.17482,1.10159,1.15263,2517082.7452,2021-11-06
1.15263,1.23744,1.1436,1.21938,2241400.96,2021-11-07
1.21938,1.29717,1.195,1.28309,5302244.0776,2021-11-08
1.28309,1.28892,1.22756,1.25588,4148623.0401,2021-11-09
1.25588,1.35,1.12058,1.192,5067631.7257,2021-11-10
1.192,1.25405,1.17309,1.21469,3580381.6817,2021-11-11
1.21469,1.236,1.14,1.1883,3214981.1051,2021-11-12
1.1883,1.20366,1.16727,1.18912,2411692.8001,2021-11-13
1.18912,1.19927,1.16762,1.18794,1980446.5696,2021-11-14
1.18794,1.22,1.16543,1.17238,3391655.2685,2021-11-15
1.17238,1.17238,1.03555,1.08761,5724309.2886,2021-11-16
1.08761,1.11293,1.028,1.09533,4602377.5745,2021-11-17
1.09533,1.16125,1.01616,1.0409,3870401.1093,2021-11-18
1.0409,1.10258,1.01616,1.0893,4072880.5024,2021-11-19
1.0893,1.10258,1.06069,1.09743,2941400.0642,2021-11-20
1.09743,1.09792,1.05576,1.05777,2036968.3058,2021-11-21
1.05777,1.07138,1.0099,1.03633,3509594.6664,2021-11-22
1.03633,1.07161,1.01304,1.06609,3040645.48,2021-11-23
1.06609,1.07327,0.98111,1.03274,3748559.9177,2021-11-24
1.03274,1.06431,1.02,1.04293,3708754.8648,2021-11-25
1.04293,1.04668,0.76755,0.94013,6512805.5631,2021-11-26
0.94013,0.96542,0.93368,0.94533,2379367.7207,2021-11-27
0.94533,1.0,0.88248,0.96901,2891975.7984,2021-11-28
0.96901,1.00196,0.963,0.98996,3739163.9802,2021-11-29
0.98996,1.035,0.95999,0.99782,5073313.0774,2021-11-30
0.99782,1.045,0.9801,0.98976,3600902.6071,2021-12-01
0.98976,1.01699,0.95034,0.97199,3908870.4291,2021-12-02
0.97199,0.98348,0.89117,0.92134,5493462.8332,2021-12-03
0.92134,0.92465,0.59848,0.84585,8214282.5931,2021-12-04
0.84585,0.86151,0.77148,0.80427,4370475.1421,2021-12-05
0.80418,0.82992,0.74951,0.82639,3801303.7299,2021-12-06
0.82639,0.84519,0.80408,0.8153,4666673.039,2021-12-07
0.8153,0.88393,0.80399,0.86172,4044831.0742,2021-12-08
0.86172,0.933,0.83241,0.85876,4507650.1842,2021-12-09
0.85876,0.88334,0.79182,0.79917,3560261.6006,2021-12-10
0.79917,0.85,0.7857,0.83763,3659979.3718,2021-12-11
0.83763,0.85682,0.80904,0.83918,3946172.012,2021-12-12
0.83918,0.84447,0.761,0.78168,4811285.4262,2021-12-13
0.78168,0.82156,0.77276,0.81074,4105645.608,2021-12-14
0.81074,0.83965,0.77735,0.82639,4372635.2947,2021-12-15
0.82639,0.843,0.80329,0.80488,4396558.3928,2021-12-16
0.80488,0.83186,0.77585,0.79664,3943244.7637,2021-12-17
0.79664,0.83429,0.79094,0.82621,2733349.8567,2021-12-18
0.82621,0.84832,0.81909,0.83484,3117167.7029,2021-12-19
0.83484,0.91482,0.82434,0.8794,5223551.6112,2021-12-20
0.8794,0.96059,0.85001,0.94698,3784904.7593,2021-12-21
0.94698,0.97317,0.92378,0.95403,3679598.6914,2021-12-22
0.95403,1.04,0.93784,0.99415,4357164.74,2021-12-23
0.99415,0.99684,0.89788,0.91089,2396944.7682,2021-12-24
0.91089,0.93409,0.89889,0.92527,2577558.8388,2021-12-25
0.92527,0.93343,0.90541,0.91991,4065031.4444,2021-12-26
0.91991,0.95568,0.9149,0.92688,3876348.5622,2021-12-27
0.92688,0.92688,0.84568,0.85149,5245721.5854,2021-12-28
0.85149,0.865,0.81121,0.81704,4929448.3076,2021-12-29
0.81704,0.85929,0.80288,0.83863,4327769.6606,2021-12-30
0.83863,0.85376,0.80252,0.82906,4216965.7203,2021-12-31
0.82906,0.85553,0.82906,0.85011,3858267.5843,2022-01-01
0.85011,0.86524,0.83723,0.85846,3779685.028,2022-01-02
0.85846,0.85852,0.8215,0.83202,3506070.2435,2022-01-03
0.83202,0.8456,0.81505,0.82283,4105313.3294,2022-01-04
0.82283,0.83717,0.70974,0.77168,8004385.1352,2022-01-05
0.77168,0.79078,0.73875,0.77896,5482261.7189,2022-01-06
0.77896,0.7806,0.72917,0.76331,7619746.9293,2022-01-07
0.76331,0.77639,0.72296,0.74523,5850785.4813,2022-01-08
0.74523,0.76681,0.73836,0.7526,4980878.1986,2022-01-09
0.7526,0.7589,0.69855,0.73971,8949811.5095,2022-01-10
0.73971,0.77654,0.73062,0.77013,8540475.3039,2022-01-11
0.77013,0.80717,0.75714,0.7987,7134745.4967,2022-01-12
0.7987,0.804,0.76061,0.7681,6618337.3837,2022-01-13
0.7681,0.79037,0.75224,0.77304,7239828.5894,2022-01-14
0.77304,0.78952,0.76805,0.77922,6521736.6038,2022-01-15
0.77922,0.78446,0.76813,0.77818,4622139.7207,2022-01-16
0.77818,0.78067,0.75,0.7615,5679303.618,2022-01-17
0.7615,0.7689,0.73544,0.75122,5600704.6873,2022-01-18
0.75122,0.75344,0.72336,0.73834,6542233.5785,2022-01-19
0.73834,0.76219,0.71628,0.7199,7893438.0405,2022-01-20
0.7199,0.72869,0.61173,0.63651,15405708.1969,2022-01-21
0.63651,0.65301,0.54941,0.59689,17043608.8749,2022-01-22
0.59689,0.63483,0.59,0.62831,8682670.5209,2022-01-23
0.62831,0.62903,0.55393,0.61196,14050143.813,2022-01-24
0.61196,0.62419,0.5872,0.61758,11902874.5298,2022-01-25
0.61758,0.65806,0.6047,0.61906,11704290.5536,2022-01-26
0.61906,0.62461,0.589,0.60882,10107962.2899,2022-01-27
0.60882,0.61437,0.59115,0.61187,8200527.0682,2022-01-28
0.61187,0.62527,0.60834,0.61702,6845129.7834,2022-01-29
0.61702,0.62371,0.59693,0.60134,5102967.5244,2022-01-30
0.60134,0.624,0.58,0.61724,6336042.7122,2022-01-31
0.61724,0.63115,0.61079,0.62827,5745580.7519,2022-02-01
0.62827,0.63162,0.59543,0.60042,7508663.4133,2022-02-02
0.60042,0.61103,0.58833,0.60942,7931593.935,2022-02-03
0.60942,0.65927,0.60356,0.65612,9816810.2656,2022-02-04
0.65612,0.68746,0.64966,0.66495,9271612.6764,2022-02-05
0.66495,0.68749,0.65866,0.6823,7191760.0087,2022-02-06
0.6823,0.83897,0.67139,0.83177,6983815.1368,2022-02-07
0.83177,0.91412,0.80255,0.87651,8874974.7565,2022-02-08
0.87651,0.91449,0.84284,0.86998,5321298.6494,2022-02-09
0.86998,0.89819,0.82191,0.82598,6903442.6771,2022-02-10
0.82598,0.83402,0.74746,0.75849,6856191.5807,2022-02-11
0.75849,0.85179,0.74629,0.82162,5294298.9372,2022-02-12
0.82162,0.84754,0.79211,0.8047,3295187.7251,2022-02-13
0.8047,0.81269,0.7792,0.80146,5083200.5613,2022-02-14
0.80146,0.85961,0.79574,0.85062,6369080.61,2022-02-15
0.85062,0.8537,0.80897,0.83655,4949198.4155,2022-02-16
0.83655,0.84457,0.753,0.76632,9128139.3332,2022-02-17
0.76632,0.80395,0.75556,0.78396,7292693.1517,2022-02-18
0.78396,0.85391,0.76925,0.82173,5941615.2303,2022-02-19
0.82173,0.82225,0.7659,0.7754,7794274.3029,2022-02-20
0.7754,0.8005,0.69528,0.70132,8895577.195,2022-02-21
0.70132,0.7266,0.67,0.72069,8733390.1513,2022-02-22
0.72069,0.7451,0.69228,0.69513,7780176.0161,2022-02-23
0.69513,0.72215,0.62094,0.6946,15355661.3705,2022-02-24
0.6946,0.77902,0.68142,0.76977,8893159.2358,2022-02-25
0.76977,0.79444,0.73981,0.75114,6440100.9417,2022-02-26
0.75114,0.76694,0.705,0.72033,7081993.2528,2022-02-27
0.72033,0.79385,0.70697,0.78002,8877611.8809,2022-02-28
0.78002,0.80462,0.7561,0.78309,10666806.5039,2022-03-01
0.78309,0.78422,0.75483,0.76753,8540654.1373,2022-03-02
0.76753,0.78892,0.73282,0.75019,7775206.778,2022-03-03
0.75019,0.75531,0.6955,0.71156,8978358.6791,2022-03-04
0.71156,0.76833,0.70374,0.75272,6573477.0449,2022-03-05
0.75272,0.75974,0.72136,0.72361,6468836.874,2022-03-06
0.72361,0.75412,0.70431,0.72004,8051097.2035,2022-03-07
0.72004,0.73097,0.71207,0.71954,6082552.3701,2022-03-08
0.71954,0.77234,0.71871,0.76625,9776677.2002,2022-03-09
0.76625,0.77755,0.72,0.73404,10718220.3193,2022-03-10
0.73404,0.81413,0.72308,0.80312,10221527.7132,2022-03-11
0.80312,0.84962,0.77577,0.78368,4295522.8314,2022-03-12
0.78368,0.80509,0.75132,0.75899,4833989.8872,2022-03-13
0.75899,0.77813,0.74454,0.77372,5130580.1653,2022-03-14
0.77372,0.77674,0.74115,0.76321,5969367.4954,2022-03-15
0.76321,0.79618,0.75541,0.79126,10159868.9316,2022-03-16
0.79126,0.79931,0.7819,0.79076,6015370.4717,2022-03-17
0.79076,0.79963,0.77415,0.79538,6993517.4919,2022-03-18
0.79538,0.825,0.78429,0.81717,7837064.1633,2022-03-19
0.81717,0.82063,0.7935,0.80508,5164130.7339,2022-03-20
